# Total intensity (both polarization) with the peak normalized to 5
# so this only gives the angular dependence and you have to use the
# total flux at the energy to renormalize it
# cylinder accretion column model
#   Angle       I(1keV)   I(2keV)    I(5keV)   I(10keV)   I(15keV)   I(30keV)
  0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  1.000000   0.152430   0.187683   0.077566  -0.004277   0.002909  -0.024656
  2.000000   0.312263   0.458653   0.217845  -0.006046   0.005818  -0.049311
  3.000000   0.533726   0.638169   0.394287   0.087513   0.008728  -0.073967
  4.000000   0.882022   0.906549   0.581867   0.181073   0.060151  -0.098622
  5.000000   1.083435   1.377692   1.005993   0.295804   0.127980  -0.104216
  6.000000   1.325939   1.815663   1.144882   0.429735   0.195810  -0.060207
  7.000000   1.576071   2.169706   1.406238   0.563667   0.263639  -0.016198
  8.000000   1.791773   2.493845   1.733974   0.719320   0.344222   0.027811
  9.000000   1.978158   2.835077   1.976469   0.871905   0.426146   0.071820
 10.000000   2.083732   3.145472   2.190060   1.004960   0.508070   0.115829
 11.000000   2.189306   3.422089   2.411682   1.134443   0.582016   0.166607
 12.000000   2.256096   3.638911   2.642607   1.262036   0.653383   0.226167
 13.000000   2.305395   3.848599   2.868760   1.385494   0.724750   0.285727
 14.000000   2.354693   4.053015   3.090494   1.506824   0.791792   0.345287
 15.000000   2.403992   4.191322   3.275360   1.625658   0.856137   0.401766
 16.000000   2.450405   4.237489   3.463127   1.737815   0.920482   0.455440
 17.000000   2.492464   4.283655   3.654597   1.849971   0.984393   0.509114
 18.000000   2.534523   4.329822   3.828312   1.962128   1.043953   0.562788
 19.000000   2.576582   4.375988   3.995880   2.074284   1.103513   0.615088
 20.000000   2.618641   4.422155   4.155034   2.184436   1.163073   0.662725
 21.000000   2.663472   4.408378   4.300495   2.292646   1.222377   0.710362
 22.000000   2.713735   4.392211   4.436470   2.401734   1.280501   0.757999
 23.000000   2.763999   4.376044   4.557919   2.516779   1.338626   0.805637
 24.000000   2.814262   4.359876   4.679115   2.634046   1.396751   0.852262
 25.000000   2.864684   4.343709   4.718042   2.764763   1.463111   0.893542
 26.000000   2.918387   4.327541   4.756969   2.896163   1.533722   0.934822
 27.000000   2.972091   4.311374   4.795895   3.031554   1.604333   0.976102
 28.000000   3.025794   4.295207   4.834822   3.166023   1.678462   1.017382
 29.000000   3.079566   4.286244   4.873749   3.295179   1.755834   1.058661
 30.000000   3.133759   4.283568   4.876192   3.425886   1.833205   1.100431
 31.000000   3.187951   4.280893   4.849559   3.565163   1.919010   1.142399
 32.000000   3.242143   4.278217   4.822925   3.701697   2.007355   1.184368
 33.000000   3.295876   4.275542   4.796292   3.823028   2.099441   1.226337
 34.000000   3.348113   4.272866   4.769659   3.946554   2.197084   1.268306
 35.000000   3.400349   4.270191   4.743026   4.071801   2.295045   1.312961
 36.000000   3.452585   4.267515   4.714426   4.183620   2.403255   1.359064
 37.000000   3.504267   4.266009   4.656478   4.285233   2.511465   1.405167
 38.000000   3.554827   4.278897   4.598531   4.383215   2.615383   1.451270
 39.000000   3.605387   4.291785   4.540583   4.466034   2.716996   1.500487
 40.000000   3.655948   4.304673   4.481083   4.548853   2.820428   1.555168
 41.000000   3.706281   4.317561   4.417496   4.613771   2.928638   1.609849
 42.000000   3.750979   4.330449   4.353909   4.655629   3.036848   1.664530
 43.000000   3.795678   4.343337   4.290322   4.697487   3.141513   1.723747
 44.000000   3.840376   4.356225   4.234635   4.739346   3.245768   1.788362
 45.000000   3.885075   4.369113   4.180110   4.781204   3.350708   1.852976
 46.000000   3.928026   4.385590   4.125585   4.823062   3.456283   1.917591
 47.000000   3.967925   4.404666   4.071060   4.840521   3.559979   1.987084
 48.000000   4.007825   4.423743   4.021377   4.841593   3.652315   2.056938
 49.000000   4.047724   4.442819   3.973753   4.842665   3.744651   2.126791
 50.000000   4.087623   4.461895   3.926129   4.843737   3.828744   2.201436
 51.000000   4.127043   4.480972   3.878505   4.844809   3.910417   2.277336
 52.000000   4.165375   4.500048   3.830881   4.845881   3.991867   2.353235
 53.000000   4.203707   4.519124   3.792693   4.846953   4.060964   2.432694
 54.000000   4.242040   4.538121   3.757417   4.848025   4.130061   2.514082
 55.000000   4.280372   4.556065   3.722140   4.846098   4.199158   2.595469
 56.000000   4.318704   4.574008   3.686863   4.824207   4.259076   2.679158
 57.000000   4.354824   4.591951   3.651586   4.802316   4.317742   2.763122
 58.000000   4.388480   4.609895   3.616309   4.780425   4.376409   2.848178
 59.000000   4.422136   4.627838   3.584291   4.758534   4.435075   2.940134
 60.000000   4.455793   4.645782   3.560413   4.736643   4.471353   3.032090
 61.000000   4.489449   4.663725   3.536535   4.714751   4.506919   3.121703
 62.000000   4.523105   4.681669   3.512657   4.692860   4.542485   3.207382
 63.000000   4.556762   4.697812   3.488780   4.670667   4.578050   3.293074
 64.000000   4.583253   4.712559   3.464902   4.645706   4.613616   3.380087
 65.000000   4.608684   4.727305   3.441024   4.620746   4.649181   3.467099
 66.000000   4.634114   4.742052   3.417146   4.595785   4.671264   3.552886
 67.000000   4.659545   4.756799   3.395638   4.570825   4.688899   3.637993
 68.000000   4.684975   4.771546   3.380940   4.545864   4.706535   3.723101
 69.000000   4.710406   4.786292   3.366242   4.520904   4.724170   3.802055
 70.000000   4.735836   4.801039   3.351543   4.495943   4.741805   3.880216
 71.000000   4.760233   4.815510   3.336845   4.471450   4.759441   3.958377
 72.000000   4.777146   4.825917   3.322147   4.452867   4.777076   4.034306
 73.000000   4.794059   4.836324   3.307448   4.434283   4.794711   4.109450
 74.000000   4.810972   4.846731   3.292750   4.415700   4.804814   4.184595
 75.000000   4.827885   4.857137   3.278052   4.397116   4.810535   4.252406
 76.000000   4.844798   4.867544   3.268982   4.378533   4.816257   4.315266
 77.000000   4.861711   4.877951   3.261089   4.359950   4.821979   4.378125
 78.000000   4.878623   4.888358   3.253196   4.341366   4.827700   4.439780
 79.000000   4.895536   4.898765   3.245303   4.322783   4.833422   4.486159
 80.000000   4.907695   4.906350   3.237410   4.309222   4.839144   4.532538
 81.000000   4.916897   4.911844   3.229517   4.298352   4.844866   4.578918
 82.000000   4.926100   4.917337   3.221624   4.287482   4.848980   4.625297
 83.000000   4.935303   4.922831   3.213731   4.276611   4.851722   4.663996
 84.000000   4.944506   4.928324   3.206748   4.265741   4.854464   4.690988
 85.000000   4.953708   4.933818   3.201249   4.254871   4.857206   4.717980
 86.000000   4.962911   4.939311   3.195750   4.253748   4.859948   4.744972
 87.000000   4.965919   4.941301   3.190251   4.253748   4.862690   4.771964
 88.000000   4.965919   4.941301   3.184752   4.253748   4.865432   4.798956
 89.000000   4.965919   4.941301   3.181374   4.253748   4.868174   4.810256
 90.000000   4.965919   4.941301   3.181374   4.253748   4.870730   4.810256
