#   Angle      Pi(1keV)  Pi(2keV)   Pi(5keV)  Pi(10keV)  Pi(15keV)  Pi(30keV)
  0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  1.000000   0.001102  -0.002800   0.001069   0.000245   0.001535   0.002467
  2.000000   0.002204  -0.005600   0.002137   0.000490   0.003070   0.004934
  3.000000   0.003306  -0.008401   0.003206   0.000735   0.004605   0.007401
  4.000000   0.004408  -0.011201   0.004274   0.000981   0.006139   0.009868
  5.000000   0.007470  -0.014001   0.005343   0.001226   0.007674   0.012335
  6.000000   0.032024  -0.016801   0.002627   0.001471   0.009209   0.014802
  7.000000   0.056578  -0.015525  -0.000994   0.001716   0.010284   0.017425
  8.000000   0.081133  -0.013418  -0.004615   0.001961   0.009288   0.020063
  9.000000   0.105687  -0.011311  -0.008236  -0.000189   0.008292   0.022702
 10.000000   0.130241  -0.009204  -0.011857  -0.003428   0.007296   0.025340
 11.000000   0.172036  -0.007097  -0.015478  -0.006666   0.006300   0.027979
 12.000000   0.220683  -0.004990  -0.019099  -0.009904   0.005304   0.030617
 13.000000   0.273896  -0.002884  -0.025066  -0.013142   0.004309   0.033256
 14.000000   0.327710   0.007757  -0.048095  -0.016380   0.003313   0.035894
 15.000000   0.385801   0.031950  -0.071124  -0.019618   0.002317   0.038005
 16.000000   0.448809   0.056143  -0.094153  -0.022867  -0.005496   0.039428
 17.000000   0.515916   0.080337  -0.117182  -0.040000  -0.015966   0.040851
 18.000000   0.560939   0.104530  -0.133378  -0.057134  -0.026435   0.042275
 19.000000   0.605962   0.128724  -0.148993  -0.074267  -0.036905   0.043698
 20.000000   0.643782   0.152917  -0.164608  -0.091401  -0.047374   0.045122
 21.000000   0.680129   0.177110  -0.180223  -0.108534  -0.057844   0.046545
 22.000000   0.715180   0.209938  -0.195838  -0.129367  -0.070305   0.047969
 23.000000   0.738910   0.247916  -0.211453  -0.152231  -0.090645   0.049392
 24.000000   0.762639   0.285738  -0.220150  -0.175096  -0.110984   0.043440
