# Total intensity (both polarization) with the peak normalized to 5
# so this only gives the angular dependence and you have to use the
# total flux at the energy to renormalize it
# anything negative should be zeroed
# slab model
#   Angle       I(1keV)   I(2keV)    I(5keV)   I(10keV)   I(15keV)   I(30keV)
  0.000000   0.202742   0.362829   2.681318   5.027906   4.986925   5.010003
  1.000000   0.252099   0.328165   2.476060   5.027906   4.986925   5.010003
  2.000000   0.375686   0.716526   2.604827   5.027906   4.986925   5.010003
  3.000000   0.760632   1.118841   2.938125   5.027906   4.986925   5.010003
  4.000000   1.628635   1.499473   3.127493   5.027906   4.986925   5.010003
  5.000000   2.145532   2.126400   3.261302   5.027906   4.986925   5.010003
  6.000000   2.886370   2.362567   3.486477   5.027906   4.986906   5.010003
  7.000000   3.521941   2.925399   3.805942   5.022093   4.946867   4.995797
  8.000000   4.089455   3.434301   4.042246   5.000029   4.906829   4.949133
  9.000000   4.372750   3.969200   4.267018   4.977965   4.866791   4.902469
 10.000000   4.752273   4.263837   4.553990   4.955901   4.826752   4.855805
 11.000000   4.885233   4.506381   4.688186   4.933837   4.786714   4.809141
 12.000000   4.946164   4.673443   4.817582   4.911773   4.746676   4.762478
 13.000000   4.863059   4.811452   4.878492   4.882266   4.670388   4.689497
 14.000000   4.779953   4.949461   4.939403   4.800265   4.592385   4.615659
 15.000000   4.684370   4.881332   4.986965   4.718265   4.510924   4.541821
 16.000000   4.535380   4.768751   4.921493   4.634000   4.421743   4.462559
 17.000000   4.386390   4.656170   4.856020   4.530227   4.332067   4.379092
 18.000000   4.238901   4.543589   4.790548   4.426455   4.232683   4.295625
 19.000000   4.096651   4.431008   4.725076   4.318933   4.133300   4.202415
 20.000000   3.958971   4.310129   4.659604   4.210761   4.024606   4.101048
 21.000000   3.829238   4.168776   4.565698   4.100818   3.913494   3.999680
 22.000000   3.706627   4.021224   4.466315   3.989706   3.807193   3.908135
 23.000000   3.591099   3.865470   4.373736   3.883798   3.704885   3.817500
 24.000000   3.477834   3.714418   4.286008   3.787335   3.602577   3.721132
 25.000000   3.371129   3.566778   4.195465   3.691017   3.500268   3.621749
 26.000000   3.264544   3.426939   4.099003   3.596013   3.397960   3.522365
 27.000000   3.176919   3.290064   4.003347   3.501008   3.295652   3.422982
 28.000000   3.089295   3.165258   3.919142   3.412214   3.193343   3.324680
 29.000000   3.007082   3.042345   3.834937   3.324590   3.105298   3.232694
 30.000000   2.934180   2.932287   3.754845   3.240551   3.021093   3.140707
 31.000000   2.861279   2.829979   3.680322   3.170600   2.937594   3.052218
