# slab model (Q/I)
#   Angle      Pi(1keV)  Pi(2keV)   Pi(5keV)  Pi(10keV)  Pi(15keV)  Pi(30keV)
  0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  1.000000  -0.000090   0.006357   0.006482   0.004234   0.007930   0.009493
  2.000000  -0.000180   0.012714   0.012963   0.008467   0.015861   0.018986
  3.000000  -0.000269   0.019071   0.019445   0.012701   0.023791   0.028480
  4.000000   0.001013   0.025428   0.025927   0.016935   0.031721   0.037973
  5.000000   0.029537   0.030034   0.026714   0.021169   0.039652   0.047466
  6.000000   0.058062   0.033745   0.027235   0.025402   0.047582   0.056959
  7.000000   0.086586   0.037456   0.027756   0.029636   0.055433   0.066453
  8.000000   0.115111   0.041167   0.028278   0.033870   0.057481   0.070050
  9.000000   0.145689   0.044878   0.028799   0.038104   0.059528   0.073510
 10.000000   0.182903   0.048590   0.029320   0.041666   0.061575   0.076969
 11.000000   0.220117   0.052301   0.029841   0.042228   0.063622   0.080428
 12.000000   0.257330   0.062161   0.030362   0.042790   0.065669   0.083888
 13.000000   0.293097   0.073815   0.028993   0.043353   0.067717   0.087347
 14.000000   0.326919   0.085469   0.025427   0.043915   0.069764   0.091452
 15.000000   0.360342   0.097122   0.021861   0.044477   0.071727   0.096712
 16.000000   0.390549   0.108776   0.018295   0.045039   0.073313   0.101972
 17.000000   0.420755   0.120429   0.014729   0.045602   0.074899   0.107232
 18.000000   0.450816   0.130468   0.011163   0.046164   0.076486   0.112491
 19.000000   0.474415   0.138331   0.007597   0.043496   0.078072   0.117751
 20.000000   0.498015   0.146195   0.004031   0.039378   0.079658   0.123011
 21.000000   0.521614   0.154058  -0.002805   0.035260   0.081244   0.128271
 22.000000   0.544451   0.161922  -0.015558   0.031141   0.082830   0.133531
 23.000000   0.563339   0.169786  -0.028311   0.027023   0.084417   0.139714
 24.000000   0.582226   0.177649  -0.041064   0.022905   0.084357   0.146598
 25.000000   0.601113   0.185513  -0.053816   0.018787   0.082138   0.153481
 26.000000   0.620000   0.194806  -0.066569   0.014669   0.079919   0.160364
 27.000000   0.635643   0.207142  -0.079322   0.009381   0.077699   0.167248
 28.000000   0.648402   0.219479  -0.092003  -0.000661   0.075480   0.174131
 29.000000   0.661161   0.231815  -0.101385  -0.010703   0.073261   0.181015
 30.000000   0.673920   0.244152  -0.110768  -0.020745   0.071041   0.187898
 31.000000   0.686679   0.256488  -0.120150  -0.030787   0.068822   0.194199
 32.000000   0.699438   0.268825  -0.129533  -0.040829   0.065710   0.199524
 33.000000   0.712197   0.281335  -0.138915  -0.050871   0.058965   0.204849
 34.000000   0.720625   0.294141  -0.148297  -0.060913   0.052219   0.210174
 35.000000   0.728906   0.306947  -0.157680  -0.071035   0.045473   0.215498
 36.000000   0.737187   0.319752  -0.165368  -0.081961   0.038728   0.220823
 37.000000   0.745468   0.332558  -0.169116  -0.092888   0.031982   0.226148
 38.000000   0.753748   0.345364  -0.172865  -0.103814   0.025236   0.231473
 39.000000   0.762029   0.358169  -0.176614  -0.114741   0.018490   0.236797
 40.000000   0.770310   0.369951  -0.180362  -0.125667   0.011745   0.240748
 41.000000   0.778591   0.380334  -0.184111  -0.136594   0.004305   0.244513
 42.000000   0.783975   0.390716  -0.187859  -0.147520  -0.003426   0.248277
 43.000000   0.788889   0.401098  -0.191608  -0.157350  -0.011157   0.252042
 44.000000   0.793803   0.411481  -0.195357  -0.165314  -0.018888   0.255807
 45.000000   0.798718   0.421863  -0.196505  -0.173279  -0.026619   0.259571
 46.000000   0.803632   0.432245  -0.197036  -0.181243  -0.034350   0.263336
 47.000000   0.808546   0.442628  -0.197567  -0.189208  -0.042081   0.267101
 48.000000   0.813460   0.450007  -0.198098  -0.197172  -0.049812   0.270355
 49.000000   0.818374   0.455582  -0.198629  -0.205137  -0.057213   0.272806
 50.000000   0.822262   0.461157  -0.199160  -0.213101  -0.063384   0.275257
 51.000000   0.824384   0.466732  -0.199691  -0.220117  -0.069555   0.277708
 52.000000   0.826507   0.472307  -0.200222  -0.224481  -0.075726   0.280159
 53.000000   0.828629   0.477882  -0.200646  -0.228846  -0.081897   0.282610
 54.000000   0.830752   0.483457  -0.200966  -0.233210  -0.088068   0.285060
 55.000000   0.832874   0.489032  -0.201286  -0.237574  -0.094239   0.287511
 56.000000   0.834996   0.494607  -0.201606  -0.241939  -0.100410   0.289962
 57.000000   0.837119   0.497090  -0.201926  -0.246303  -0.106580   0.292266
 58.000000   0.839241   0.498473  -0.202246  -0.250668  -0.109888   0.294552
 59.000000   0.839442   0.499855  -0.202566  -0.255032  -0.112076   0.296839
 60.000000   0.839368   0.501237  -0.202886  -0.256458  -0.114265   0.299126
 61.000000   0.839293   0.502619  -0.203206  -0.257011  -0.116453   0.301412
 62.000000   0.839219   0.504001  -0.203847  -0.257563  -0.118642   0.303699
 63.000000   0.839145   0.505383  -0.204557  -0.258116  -0.120830   0.305985
 64.000000   0.839071   0.506765  -0.205268  -0.258669  -0.123019   0.308272
 65.000000   0.838997   0.506140  -0.205978  -0.259221  -0.125207   0.311203
 66.000000   0.838923   0.501447  -0.206689  -0.259774  -0.126457   0.315091
 67.000000   0.838849   0.496754  -0.207399  -0.260327  -0.124498   0.318979
 68.000000   0.836457   0.492061  -0.208110  -0.259154  -0.122540   0.322866
 69.000000   0.832585   0.487368  -0.208820  -0.254852  -0.120582   0.326754
 70.000000   0.828714   0.482675  -0.209145  -0.250551  -0.118624   0.330642
 71.000000   0.824842   0.477982  -0.208687  -0.246249  -0.116666   0.334530
 72.000000   0.820970   0.473289  -0.208228  -0.241947  -0.114708   0.338418
 73.000000   0.817098   0.468597  -0.207770  -0.237646  -0.112750   0.342305
 74.000000   0.813226   0.456706  -0.207311  -0.233344  -0.110791   0.349032
 75.000000   0.809355   0.443422  -0.206853  -0.229042  -0.104951   0.356040
 76.000000   0.804754   0.430139  -0.206394  -0.224741  -0.097703   0.363048
 77.000000   0.794683   0.416855  -0.205936  -0.216759  -0.090454   0.370056
 78.000000   0.784612   0.403571  -0.205477  -0.207774  -0.083206   0.377064
 79.000000   0.774541   0.390287  -0.203460  -0.198788  -0.075957   0.384072
 80.000000   0.764470   0.368732  -0.196419  -0.189802  -0.068709   0.391080
 81.000000   0.754399   0.342941  -0.189378  -0.180817  -0.061460   0.398088
 82.000000   0.735410   0.317150  -0.182337  -0.171831  -0.054212   0.405471
 83.000000   0.705900   0.290116  -0.175296  -0.162846  -0.044040   0.413376
 84.000000   0.676390   0.257676  -0.168255  -0.153860  -0.032130   0.421281
 85.000000   0.646880   0.225236  -0.161214  -0.141657  -0.020221   0.429187
 86.000000   0.599115   0.192797  -0.145149  -0.126538  -0.008311   0.437092
 87.000000   0.531680   0.168548  -0.120605  -0.111419   0.003599   0.444200
 88.000000   0.418963   0.144928  -0.096062  -0.088088   0.015508   0.444200
 89.000000   0.346163   0.121308  -0.071519  -0.047913   0.027418   0.444200
 90.000000   0.314632   0.112438  -0.063404  -0.007738   0.034822   0.444200
