#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.3e+06           10         2.07    0.0164282   -0.0239858   1.0935e+30       206000 -0.000394043  0.174533
     1.3e+06           15         2.07    0.0159836   -0.0585823   1.0935e+30       206000 -0.000936359  0.261799
     1.3e+06           20         2.07    0.0157815    -0.100571   1.0935e+30       206000  -0.00158716  0.349066
     1.3e+06           25         2.07    0.0155876    -0.137061   1.0935e+30       206000  -0.00213646  0.436332
     1.3e+06           30         2.07    0.0159593    -0.173762   1.0935e+30       206000  -0.00277313  0.523599
     1.3e+06           35         2.07    0.0149419     -0.21268   1.0935e+30       206000  -0.00317785  0.610865
     1.3e+06           40         2.07    0.0135299    -0.258777   1.0935e+30       206000  -0.00350123  0.698132
     1.3e+06           45         2.07    0.0128626    -0.307457   1.0935e+30       206000  -0.00395469  0.785398
     1.3e+06            5         2.07    0.0157224  -0.00561515   1.0935e+30       206000 -8.82838e-05  0.0872665
     1.3e+06           50         2.07    0.0109503    -0.357524   1.0935e+30       206000    -0.003915  0.872665
     1.3e+06           55         2.07   0.00998821    -0.394742   1.0935e+30       206000  -0.00394277  0.959931
     1.3e+06           60         2.07   0.00966152     -0.42913   1.0935e+30       206000  -0.00414605    1.0472
     1.3e+06           65         2.07   0.00820537    -0.453247   1.0935e+30       206000  -0.00371906   1.13446
     1.3e+06           70         2.07   0.00742647    -0.469844   1.0935e+30       206000  -0.00348928   1.22173
     1.3e+06           75         2.07    0.0067517    -0.477391   1.0935e+30       206000   -0.0032232     1.309
     1.3e+06           80         2.07   0.00494867    -0.479185   1.0935e+30       206000  -0.00237133   1.39626
     1.3e+06           85         2.07   0.00493347    -0.468968   1.0935e+30       206000  -0.00231364   1.48353
     1.3e+06           90         2.07   0.00442553    -0.448202   1.0935e+30       206000  -0.00198353    1.5708
     1.3e+06           10        2.484    0.0215291   -0.0225504   1.0935e+30       206000 -0.000485492  0.174533
     1.3e+06           15        2.484    0.0208029   -0.0530329   1.0935e+30       206000  -0.00110324  0.261799
     1.3e+06           20        2.484    0.0202464   -0.0880607   1.0935e+30       206000  -0.00178291  0.349066
     1.3e+06           25        2.484    0.0196909    -0.116387   1.0935e+30       206000  -0.00229176  0.436332
     1.3e+06           30        2.484    0.0198609    -0.141898   1.0935e+30       206000  -0.00281822  0.523599
     1.3e+06           35        2.484    0.0184325    -0.169537   1.0935e+30       206000  -0.00312499  0.610865
     1.3e+06           40        2.484    0.0165853    -0.203669   1.0935e+30       206000  -0.00337791  0.698132
     1.3e+06           45        2.484    0.0156757     -0.24139   1.0935e+30       206000  -0.00378395  0.785398
     1.3e+06            5        2.484    0.0206169  -0.00532916   1.0935e+30       206000 -0.000109871  0.0872665
     1.3e+06           50        2.484    0.0132552    -0.281584   1.0935e+30       206000  -0.00373245  0.872665
     1.3e+06           55        2.484    0.0120199    -0.312111   1.0935e+30       206000  -0.00375155  0.959931
     1.3e+06           60        2.484    0.0115478    -0.340939   1.0935e+30       206000  -0.00393708    1.0472
     1.3e+06           65        2.484   0.00974208    -0.361299   1.0935e+30       206000   -0.0035198   1.13446
     1.3e+06           70        2.484   0.00874764    -0.375401   1.0935e+30       206000  -0.00328388   1.22173
     1.3e+06           75        2.484    0.0079022    -0.381668   1.0935e+30       206000  -0.00301602     1.309
     1.3e+06           80        2.484   0.00573616    -0.382898   1.0935e+30       206000  -0.00219637   1.39626
     1.3e+06           85        2.484     0.005698    -0.373755   1.0935e+30       206000  -0.00212966   1.48353
     1.3e+06           90        2.484   0.00510826    -0.355779   1.0935e+30       206000  -0.00181741    1.5708
     1.3e+06           10        8.694    0.0221386   -0.0174748   1.0935e+30       206000 -0.000386867  0.174533
     1.3e+06           15        8.694    0.0211549   -0.0302159   1.0935e+30       206000 -0.000639216  0.261799
     1.3e+06           20        8.694     0.020112    -0.032152   1.0935e+30       206000 -0.000646642  0.349066
     1.3e+06           25        8.694    0.0190715   -0.0221405   1.0935e+30       206000 -0.000422253  0.436332
     1.3e+06           30        8.694    0.0188118   0.00154485   1.0935e+30       206000  2.90613e-05  0.523599
     1.3e+06           35        8.694     0.017356    0.0307605   1.0935e+30       206000  0.000533878  0.610865
     1.3e+06           40        8.694    0.0156832    0.0681452   1.0935e+30       206000   0.00106873  0.698132
     1.3e+06           45        8.694    0.0149088     0.105633   1.0935e+30       206000   0.00157486  0.785398
     1.3e+06            5        8.694    0.0212217  -0.00446496   1.0935e+30       206000  -9.4754e-05  0.0872665
     1.3e+06           50        8.694     0.012747     0.144914   1.0935e+30       206000   0.00184722  0.872665
     1.3e+06           55        8.694      0.01174     0.172431   1.0935e+30       206000   0.00202433  0.959931
     1.3e+06           60        8.694    0.0115036     0.198021   1.0935e+30       206000   0.00227795    1.0472
     1.3e+06           65        8.694    0.0098575     0.216678   1.0935e+30       206000   0.00213591   1.13446
     1.3e+06           70        8.694   0.00889598      0.22992   1.0935e+30       206000   0.00204536   1.22173
     1.3e+06           75        8.694   0.00800766     0.237045   1.0935e+30       206000   0.00189817     1.309
     1.3e+06           80        8.694   0.00578146     0.241116   1.0935e+30       206000     0.001394   1.39626
     1.3e+06           85        8.694   0.00560168     0.239575   1.0935e+30       206000   0.00134203   1.48353
     1.3e+06           90        8.694   0.00480056     0.230991   1.0935e+30       206000   0.00110888    1.5708
     1.3e+06           10        4.554    0.0247424   -0.0155074   1.0935e+30       206000  -0.00038369  0.174533
     1.3e+06           15        4.554    0.0243642   -0.0263103   1.0935e+30       206000 -0.000641029  0.261799
     1.3e+06           20        4.554    0.0246644   -0.0266773   1.0935e+30       206000 -0.000657977  0.349066
     1.3e+06           25        4.554     0.025021   -0.0136045   1.0935e+30       206000 -0.000340398  0.436332
     1.3e+06           30        4.554    0.0263141    0.0170405   1.0935e+30       206000  0.000448405  0.523599
     1.3e+06           35        4.554    0.0251042    0.0458529   1.0935e+30       206000    0.0011511  0.610865
     1.3e+06           40        4.554    0.0231279    0.0715705   1.0935e+30       206000   0.00165528  0.698132
     1.3e+06           45        4.554    0.0223403    0.0884657   1.0935e+30       206000   0.00197635  0.785398
     1.3e+06            5        4.554    0.0236542   -0.0038992   1.0935e+30       206000 -9.22323e-05  0.0872665
     1.3e+06           50        4.554    0.0191233    0.0976951   1.0935e+30       206000   0.00186825  0.872665
     1.3e+06           55        4.554     0.017217     0.100701   1.0935e+30       206000   0.00173377  0.959931
     1.3e+06           60        4.554    0.0163206    0.0997625   1.0935e+30       206000   0.00162818    1.0472
