#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.7e+06           10         2.07    0.0163573    0.0366746   7.3695e+30       206000  0.000599896  0.174533
     1.7e+06           15         2.07    0.0160743    0.0639949   7.3695e+30       206000   0.00102867  0.261799
     1.7e+06           20         2.07    0.0153555    0.0953039   7.3695e+30       206000   0.00146344  0.349066
     1.7e+06           25         2.07    0.0159621     0.124203   7.3695e+30       206000   0.00198255  0.436332
     1.7e+06           30         2.07    0.0161375     0.149195   7.3695e+30       206000   0.00240764  0.523599
     1.7e+06           35         2.07    0.0137762     0.180967   7.3695e+30       206000   0.00249304  0.610865
     1.7e+06           40         2.07    0.0130031     0.220245   7.3695e+30       206000   0.00286387  0.698132
     1.7e+06           45         2.07    0.0123853     0.254602   7.3695e+30       206000   0.00315333  0.785398
     1.7e+06            5         2.07    0.0157224    0.0135214   7.3695e+30       206000  0.000212588  0.0872665
     1.7e+06           50         2.07    0.0102068     0.294883   7.3695e+30       206000    0.0030098  0.872665
     1.7e+06           55         2.07   0.00937503     0.313819   7.3695e+30       206000   0.00294206  0.959931
     1.7e+06           60         2.07   0.00808749     0.342654   7.3695e+30       206000   0.00277121    1.0472
     1.7e+06           65         2.07   0.00784553     0.358701   7.3695e+30       206000    0.0028142   1.13446
     1.7e+06           70         2.07    0.0062382      0.37505   7.3695e+30       206000   0.00233963   1.22173
     1.7e+06           75         2.07   0.00564834     0.368292   7.3695e+30       206000   0.00208023     1.309
     1.7e+06           80         2.07   0.00420258     0.372818   7.3695e+30       206000    0.0015668   1.39626
     1.7e+06           85         2.07   0.00424376     0.354747   7.3695e+30       206000   0.00150546   1.48353
     1.7e+06           90         2.07    0.0023693     0.356777   7.3695e+30       206000  0.000845311    1.5708
     1.7e+06           10        2.484     0.021418    0.0346597   7.3695e+30       206000  0.000742344  0.174533
     1.7e+06           15        2.484    0.0208672    0.0580579   7.3695e+30       206000    0.0012115  0.261799
     1.7e+06           20        2.484    0.0196541    0.0840573   7.3695e+30       206000   0.00165207  0.349066
