#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           10         2.07    0.0149737    -0.337936      1.5e+30       206000  -0.00506016  0.174533
       1e+06           15         2.07    0.0151583    -0.335604      1.5e+30       206000  -0.00508719  0.261799
       1e+06           20         2.07    0.0155251    -0.325697      1.5e+30       206000  -0.00505649  0.349066
       1e+06           25         2.07    0.0160669    -0.316501      1.5e+30       206000  -0.00508518  0.436332
       1e+06           30         2.07    0.0148988    -0.312602      1.5e+30       206000  -0.00465741  0.523599
       1e+06           35         2.07    0.0157656     -0.29727      1.5e+30       206000  -0.00468664  0.610865
       1e+06           40         2.07    0.0136158    -0.301381      1.5e+30       206000  -0.00410355  0.698132
       1e+06           45         2.07    0.0137626     -0.30655      1.5e+30       206000  -0.00421891  0.785398
       1e+06            5         2.07    0.0157224    -0.202682      1.5e+30       206000  -0.00318665  0.0872665
       1e+06           50         2.07    0.0116964    -0.292368      1.5e+30       206000  -0.00341966  0.872665
       1e+06           55         2.07    0.0112412    -0.292091      1.5e+30       206000  -0.00328345  0.959931
       1e+06           60         2.07   0.00955842    -0.299883      1.5e+30       206000  -0.00286641    1.0472
       1e+06           65         2.07   0.00927894    -0.300461      1.5e+30       206000  -0.00278796   1.13446
       1e+06           70         2.07    0.0077469    -0.313046      1.5e+30       206000  -0.00242513   1.22173
       1e+06           75         2.07   0.00694747     -0.26906      1.5e+30       206000  -0.00186928     1.309
       1e+06           80         2.07   0.00741267    -0.312948      1.5e+30       206000  -0.00231978   1.39626
       1e+06           85         2.07   0.00668391    -0.302923      1.5e+30       206000  -0.00202471   1.48353
       1e+06           90         2.07    0.0054146     -0.27794      1.5e+30       206000  -0.00150494    1.5708
       1e+06           10        2.484    0.0196351    -0.286483      1.5e+30       206000  -0.00562513  0.174533
       1e+06           15        2.484    0.0197668    -0.276454      1.5e+30       206000   -0.0054646  0.261799
       1e+06           20        2.484    0.0200265    -0.273563      1.5e+30       206000  -0.00547851  0.349066
       1e+06           25        2.484    0.0204059    -0.268181      1.5e+30       206000  -0.00547249  0.436332
       1e+06           30        2.484    0.0186683    -0.261651      1.5e+30       206000  -0.00488458  0.523599
       1e+06           35        2.484    0.0195198    -0.249635      1.5e+30       206000  -0.00487283  0.610865
       1e+06           40        2.484    0.0167412    -0.250633      1.5e+30       206000   -0.0041959  0.698132
       1e+06           45        2.484    0.0168322    -0.254672      1.5e+30       206000  -0.00428671  0.785398
       1e+06            5        2.484    0.0206169    -0.179409      1.5e+30       206000  -0.00369884  0.0872665
       1e+06           50        2.484    0.0142301    -0.242913      1.5e+30       206000  -0.00345668  0.872665
       1e+06           55        2.484    0.0135976    -0.242165      1.5e+30       206000  -0.00329286  0.959931
       1e+06           60        2.484    0.0114993     -0.24858      1.5e+30       206000   -0.0028585    1.0472
       1e+06           65        2.484    0.0110954    -0.248711      1.5e+30       206000  -0.00275954   1.13446
       1e+06           70        2.484    0.0092123     -0.25945      1.5e+30       206000  -0.00239013   1.22173
       1e+06           75        2.484   0.00821061    -0.222677      1.5e+30       206000  -0.00182832     1.309
       1e+06           80        2.484   0.00868464    -0.259355      1.5e+30       206000  -0.00225241   1.39626
       1e+06           85        2.484   0.00777685    -0.251565      1.5e+30       206000  -0.00195638   1.48353
       1e+06           90        2.484   0.00627076    -0.231206      1.5e+30       206000  -0.00144983    1.5708
       1e+06           10        3.105    0.0188602    -0.163279      1.5e+30       206000  -0.00307948  0.174533
       1e+06           15        3.105    0.0194411    -0.160944      1.5e+30       206000  -0.00312892  0.261799
       1e+06           20        3.105    0.0206219    -0.156651      1.5e+30       206000  -0.00323046  0.349066
       1e+06           25        3.105    0.0224304    -0.154775      1.5e+30       206000  -0.00347167  0.436332
       1e+06           30        3.105    0.0217175    -0.151157      1.5e+30       206000  -0.00328276  0.523599
       1e+06           35        3.105    0.0236043    -0.144364      1.5e+30       206000  -0.00340761  0.610865
       1e+06           40        3.105    0.0203558    -0.143542      1.5e+30       206000   -0.0029219  0.698132
       1e+06           45        3.105    0.0203654    -0.145757      1.5e+30       206000  -0.00296841  0.785398
       1e+06            5        3.105    0.0198032    -0.109183      1.5e+30       206000  -0.00216218  0.0872665
       1e+06           50        3.105    0.0171431    -0.139139      1.5e+30       206000  -0.00238526  0.872665
       1e+06           55        3.105     0.016388    -0.138473      1.5e+30       206000  -0.00226929  0.959931
       1e+06           60        3.105    0.0139316    -0.142511      1.5e+30       206000   -0.0019854    1.0472
       1e+06           65        3.105    0.0135393    -0.142052      1.5e+30       206000  -0.00192328   1.13446
       1e+06           70        3.105    0.0113074    -0.148341      1.5e+30       206000  -0.00167735   1.22173
       1e+06           75        3.105    0.0100557    -0.127979      1.5e+30       206000  -0.00128692     1.309
       1e+06           80        3.105    0.0104997    -0.148503      1.5e+30       206000  -0.00155923   1.39626
       1e+06           85        3.105   0.00929259    -0.144569      1.5e+30       206000  -0.00134342   1.48353
       1e+06           90        3.105   0.00741659    -0.133889      1.5e+30       206000 -0.000992996    1.5708
       1e+06           10        3.726    0.0224473   -0.0904037      1.5e+30       206000  -0.00202932  0.174533
       1e+06           15        3.726    0.0230103   -0.0904893      1.5e+30       206000  -0.00208219  0.261799
       1e+06           20        3.726     0.024147   -0.0873286      1.5e+30       206000  -0.00210872  0.349066
       1e+06           25        3.726    0.0258684   -0.0867197      1.5e+30       206000   -0.0022433  0.436332
       1e+06           30        3.726    0.0247187   -0.0847835      1.5e+30       206000  -0.00209574  0.523599
       1e+06           35        3.726     0.026526   -0.0813029      1.5e+30       206000  -0.00215664  0.610865
       1e+06           40        3.726     0.022663   -0.0802082      1.5e+30       206000  -0.00181776  0.698132
       1e+06           45        3.726    0.0224896   -0.0814485      1.5e+30       206000  -0.00183174  0.785398
       1e+06            5        3.726    0.0235697   -0.0626647      1.5e+30       206000  -0.00147698  0.0872665
       1e+06           50        3.726    0.0187811   -0.0777539      1.5e+30       206000   -0.0014603  0.872665
       1e+06           55        3.726     0.017823   -0.0772934      1.5e+30       206000   -0.0013776  0.959931
       1e+06           60        3.726    0.0150676   -0.0796714      1.5e+30       206000  -0.00120045    1.0472
       1e+06           65        3.726    0.0145581   -0.0793593      1.5e+30       206000  -0.00115532   1.13446
       1e+06           70        3.726    0.0120975   -0.0828152      1.5e+30       206000  -0.00100186   1.22173
       1e+06           75        3.726     0.010737   -0.0719837      1.5e+30       206000 -0.000772886     1.309
       1e+06           80        3.726    0.0112251   -0.0829417      1.5e+30       206000 -0.000931029   1.39626
       1e+06           85        3.726   0.00995046    -0.081135      1.5e+30       206000 -0.000807331   1.48353
       1e+06           90        3.726   0.00794908   -0.0756723      1.5e+30       206000 -0.000601525    1.5708
       1e+06           10         4.14    0.0225266   -0.0350957      1.5e+30       206000 -0.000790588  0.174533
       1e+06           15         4.14    0.0230769   -0.0350029      1.5e+30       206000 -0.000807758  0.261799
       1e+06           20         4.14    0.0241869   -0.0338509      1.5e+30       206000 -0.000818746  0.349066
       1e+06           25         4.14    0.0258658   -0.0338227      1.5e+30       206000 -0.000874853  0.436332
       1e+06           30         4.14    0.0246787   -0.0330274      1.5e+30       206000 -0.000815075  0.523599
       1e+06           35         4.14    0.0266113   -0.0316313      1.5e+30       206000 -0.000841751  0.610865
       1e+06           40         4.14    0.0230159   -0.0311834      1.5e+30       206000 -0.000717715  0.698132
       1e+06           45         4.14    0.0231715   -0.0317042      1.5e+30       206000 -0.000734633  0.785398
       1e+06            5         4.14    0.0236529   -0.0247591      1.5e+30       206000 -0.000585625  0.0872665
       1e+06           50         4.14    0.0196146   -0.0302882      1.5e+30       206000  -0.00059409  0.872665
       1e+06           55         4.14    0.0187661   -0.0301241      1.5e+30       206000 -0.000565312  0.959931
       1e+06           60         4.14    0.0158867     -0.03108      1.5e+30       206000 -0.000493757    1.0472
       1e+06           65         4.14    0.0153456    -0.030909      1.5e+30       206000 -0.000474318   1.13446
       1e+06           70         4.14     0.012748   -0.0322394      1.5e+30       206000 -0.000410989   1.22173
       1e+06           75         4.14    0.0113003   -0.0281993      1.5e+30       206000 -0.000318661     1.309
       1e+06           80         4.14    0.0117815    -0.032308      1.5e+30       206000 -0.000380635   1.39626
       1e+06           85         4.14    0.0104191   -0.0316967      1.5e+30       206000 -0.000330253   1.48353
       1e+06           90         4.14   0.00830642   -0.0297187      1.5e+30       206000 -0.000246856    1.5708
       1e+06           10        4.554    0.0225278    0.0352036      1.5e+30       206000  0.000793058  0.174533
       1e+06           15        4.554    0.0230282    0.0348288      1.5e+30       206000  0.000802044  0.261799
       1e+06           20        4.554    0.0240348     0.033561      1.5e+30       206000  0.000806633  0.349066
       1e+06           25        4.554    0.0255509    0.0335869      1.5e+30       206000  0.000858174  0.436332
       1e+06           30        4.554    0.0242529    0.0329382      1.5e+30       206000  0.000798845  0.523599
       1e+06           35        4.554    0.0262623    0.0315866      1.5e+30       206000  0.000829539  0.610865
       1e+06           40        4.554    0.0230741    0.0310217      1.5e+30       206000  0.000715797  0.698132
       1e+06           45        4.554    0.0236785    0.0315375      1.5e+30       206000  0.000746762  0.785398
       1e+06            5        4.554    0.0236542    0.0250148      1.5e+30       206000  0.000591704  0.0872665
       1e+06           50        4.554    0.0203937    0.0302125      1.5e+30       206000  0.000616144  0.872665
       1e+06           55        4.554    0.0196086    0.0300854      1.5e+30       206000  0.000589933  0.959931
       1e+06           60        4.554    0.0164618    0.0310541      1.5e+30       206000  0.000511207    1.0472
       1e+06           65        4.554    0.0156949    0.0308387      1.5e+30       206000  0.000484009   1.13446
       1e+06           70        4.554    0.0128958    0.0321575      1.5e+30       206000  0.000414697   1.22173
       1e+06           75        4.554    0.0114259    0.0282587      1.5e+30       206000   0.00032288     1.309
       1e+06           80        4.554    0.0120637    0.0322159      1.5e+30       206000  0.000388643   1.39626
       1e+06           85        4.554    0.0107974    0.0316978      1.5e+30       206000  0.000342252   1.48353
       1e+06           90        4.554   0.00867117    0.0298843      1.5e+30       206000  0.000259131    1.5708
       1e+06           10        5.175    0.0223354     0.102517      1.5e+30       206000   0.00228975  0.174533
       1e+06           15        5.175    0.0227845     0.101313      1.5e+30       206000   0.00230836  0.261799
       1e+06           20        5.175    0.0236858    0.0968735      1.5e+30       206000   0.00229452  0.349066
       1e+06           25        5.175    0.0250375    0.0973533      1.5e+30       206000   0.00243748  0.436332
       1e+06           30        5.175     0.023649    0.0956433      1.5e+30       206000   0.00226186  0.523599
       1e+06           35        5.175    0.0254356    0.0917654      1.5e+30       206000    0.0023341  0.610865
       1e+06           40        5.175    0.0221777     0.090193      1.5e+30       206000   0.00200027  0.698132
       1e+06           45        5.175    0.0225814    0.0915867      1.5e+30       206000   0.00206815  0.785398
       1e+06            5        5.175    0.0234521     0.073601      1.5e+30       206000    0.0017261  0.0872665
       1e+06           50        5.175    0.0193197    0.0879081      1.5e+30       206000   0.00169836  0.872665
       1e+06           55        5.175    0.0186105    0.0874883      1.5e+30       206000    0.0016282  0.959931
       1e+06           60        5.175    0.0157851    0.0904679      1.5e+30       206000   0.00142804    1.0472
       1e+06           65        5.175    0.0152606    0.0897406      1.5e+30       206000   0.00136949   1.13446
       1e+06           70        5.175    0.0126918    0.0934248      1.5e+30       206000   0.00118572   1.22173
       1e+06           75        5.175    0.0113157    0.0829613      1.5e+30       206000  0.000938768     1.309
       1e+06           80        5.175    0.0119547    0.0936833      1.5e+30       206000   0.00111995   1.39626
       1e+06           85        5.175    0.0106922    0.0925461      1.5e+30       206000  0.000989521   1.48353
       1e+06           90        5.175   0.00858065    0.0878724      1.5e+30       206000  0.000754002    1.5708
       1e+06           10        5.796     0.022535     0.136414      1.5e+30       206000   0.00307409  0.174533
       1e+06           15        5.796    0.0228523     0.132645      1.5e+30       206000   0.00303124  0.261799
       1e+06           20        5.796    0.0234843      0.12823      1.5e+30       206000   0.00301139  0.349066
       1e+06           25        5.796    0.0244211     0.129205      1.5e+30       206000   0.00315533  0.436332
       1e+06           30        5.796    0.0227406     0.127241      1.5e+30       206000   0.00289354  0.523599
       1e+06           35        5.796    0.0240921     0.122179      1.5e+30       206000   0.00294355  0.610865
       1e+06           40        5.796    0.0207412     0.119899      1.5e+30       206000   0.00248685  0.698132
       1e+06           45        5.796    0.0208713     0.121842      1.5e+30       206000   0.00254299  0.785398
       1e+06            5        5.796    0.0236617    0.0986011      1.5e+30       206000   0.00233307  0.0872665
       1e+06           50        5.796    0.0176754     0.117315      1.5e+30       206000    0.0020736  0.872665
       1e+06           55        5.796    0.0170522     0.116607      1.5e+30       206000    0.0019884  0.959931
       1e+06           60        5.796    0.0146553     0.120852      1.5e+30       206000   0.00177113    1.0472
       1e+06           65        5.796     0.014427     0.119596      1.5e+30       206000   0.00172541   1.13446
       1e+06           70        5.796    0.0121891     0.124469      1.5e+30       206000   0.00151717   1.22173
       1e+06           75        5.796    0.0109678     0.111657      1.5e+30       206000   0.00122463     1.309
       1e+06           80        5.796    0.0116267     0.124861      1.5e+30       206000   0.00145173   1.39626
       1e+06           85        5.796     0.010413     0.123782      1.5e+30       206000   0.00128894   1.48353
       1e+06           90        5.796   0.00835676     0.118386      1.5e+30       206000  0.000989325    1.5708
       1e+06           10         6.21    0.0221799     0.146935      1.5e+30       206000   0.00325901  0.174533
       1e+06           15         6.21    0.0224539     0.143776      1.5e+30       206000   0.00322833  0.261799
       1e+06           20         6.21    0.0229985      0.13854      1.5e+30       206000   0.00318622  0.349066
       1e+06           25         6.21    0.0238029     0.139797      1.5e+30       206000   0.00332759  0.436332
       1e+06           30         6.21     0.022074      0.13783      1.5e+30       206000   0.00304245  0.523599
       1e+06           35         6.21    0.0232296     0.132487      1.5e+30       206000   0.00307762  0.610865
       1e+06           40         6.21    0.0198266       0.1302      1.5e+30       206000   0.00258142  0.698132
       1e+06           45         6.21    0.0197696     0.132287      1.5e+30       206000   0.00261526  0.785398
       1e+06            5         6.21    0.0232889     0.107407      1.5e+30       206000   0.00250139  0.0872665
       1e+06           50         6.21    0.0166068     0.127545      1.5e+30       206000   0.00211811  0.872665
       1e+06           55         6.21    0.0160072     0.126632      1.5e+30       206000   0.00202703  0.959931
       1e+06           60         6.21    0.0138487     0.131395      1.5e+30       206000   0.00181964    1.0472
       1e+06           65         6.21    0.0137633     0.129964      1.5e+30       206000   0.00178873   1.13446
       1e+06           70         6.21    0.0117239     0.135133      1.5e+30       206000   0.00158429   1.22173
       1e+06           75         6.21    0.0105874     0.122001      1.5e+30       206000   0.00129167     1.309
       1e+06           80         6.21    0.0112116     0.135652      1.5e+30       206000   0.00152088   1.39626
       1e+06           85         6.21    0.0100238     0.134722      1.5e+30       206000   0.00135043   1.48353
       1e+06           90         6.21   0.00803852     0.129319      1.5e+30       206000   0.00103954    1.5708
       1e+06           10        6.831    0.0216822      0.13459      1.5e+30       206000   0.00291822  0.174533
       1e+06           15        6.831    0.0219002     0.132511      1.5e+30       206000   0.00290201  0.261799
       1e+06           20        6.831     0.022332     0.127783      1.5e+30       206000   0.00285364  0.349066
       1e+06           25        6.831     0.022967     0.129136      1.5e+30       206000   0.00296587  0.436332
       1e+06           30        6.831    0.0211815      0.12812      1.5e+30       206000   0.00271379  0.523599
       1e+06           35        6.831    0.0220885     0.123088      1.5e+30       206000   0.00271884  0.610865
       1e+06           40        6.831    0.0186294     0.121012      1.5e+30       206000   0.00225439  0.698132
       1e+06           45        6.831    0.0183432     0.123017      1.5e+30       206000   0.00225652  0.785398
       1e+06            5        6.831    0.0227663     0.100312      1.5e+30       206000   0.00228373  0.0872665
       1e+06           50        6.831    0.0152359     0.118938      1.5e+30       206000   0.00181213  0.872665
       1e+06           55        6.831     0.014668      0.11795      1.5e+30       206000   0.00173009  0.959931
       1e+06           60        6.831     0.012807     0.122468      1.5e+30       206000   0.00156845    1.0472
       1e+06           65        6.831    0.0128967     0.121093      1.5e+30       206000    0.0015617   1.13446
       1e+06           70        6.831    0.0111104     0.125774      1.5e+30       206000   0.00139739   1.22173
       1e+06           75        6.831    0.0100834     0.114572      1.5e+30       206000   0.00115528     1.309
       1e+06           80        6.831    0.0106623      0.12629      1.5e+30       206000   0.00134654   1.39626
       1e+06           85        6.831    0.0095098     0.125771      1.5e+30       206000   0.00119606   1.48353
       1e+06           90        6.831    0.0076107     0.121409      1.5e+30       206000  0.000924006    1.5708
       1e+06           10        7.659    0.0210996     0.125205      1.5e+30       206000   0.00264177  0.174533
       1e+06           15        7.659    0.0211986     0.122809      1.5e+30       206000   0.00260338  0.261799
       1e+06           20        7.659    0.0213935     0.119168      1.5e+30       206000   0.00254942  0.349066
       1e+06           25        7.659     0.021677     0.120543      1.5e+30       206000   0.00261301  0.436332
       1e+06           30        7.659    0.0197346     0.120059      1.5e+30       206000   0.00236932  0.523599
       1e+06           35        7.659    0.0206062     0.115264      1.5e+30       206000   0.00237516  0.610865
       1e+06           40        7.659    0.0177388     0.113652      1.5e+30       206000   0.00201605  0.698132
       1e+06           45        7.659    0.0179291     0.115546      1.5e+30       206000   0.00207162  0.785398
       1e+06            5        7.659    0.0221545    0.0947612      1.5e+30       206000   0.00209939  0.0872665
       1e+06           50        7.659    0.0152488     0.112216      1.5e+30       206000   0.00171115  0.872665
       1e+06           55        7.659    0.0147653     0.111516      1.5e+30       206000   0.00164656  0.959931
       1e+06           60        7.659    0.0127215     0.115767      1.5e+30       206000   0.00147273    1.0472
       1e+06           65        7.659     0.012555     0.114448      1.5e+30       206000    0.0014369   1.13446
       1e+06           70        7.659    0.0106281     0.118612      1.5e+30       206000   0.00126062   1.22173
       1e+06           75        7.659   0.00954266     0.109232      1.5e+30       206000   0.00104236     1.309
       1e+06           80        7.659     0.010037     0.119156      1.5e+30       206000   0.00119597   1.39626
       1e+06           85        7.659    0.0089269     0.118995      1.5e+30       206000   0.00106226   1.48353
       1e+06           90        7.659   0.00712537     0.115647      1.5e+30       206000  0.000824024    1.5708
       1e+06           10         8.28    0.0207115     0.130457      1.5e+30       206000   0.00270196  0.174533
       1e+06           15         8.28    0.0207032     0.128957      1.5e+30       206000   0.00266982  0.261799
       1e+06           20         8.28    0.0206869     0.124752      1.5e+30       206000   0.00258073  0.349066
       1e+06           25         8.28    0.0206635     0.126429      1.5e+30       206000   0.00261246  0.436332
       1e+06           30         8.28    0.0185788     0.126131      1.5e+30       206000   0.00234337  0.523599
       1e+06           35         8.28    0.0192233     0.121425      1.5e+30       206000    0.0023342  0.610865
       1e+06           40         8.28    0.0165104     0.119634      1.5e+30       206000   0.00197521  0.698132
       1e+06           45         8.28    0.0166853     0.121694      1.5e+30       206000    0.0020305  0.785398
       1e+06            5         8.28    0.0217471     0.099976      1.5e+30       206000   0.00217419  0.0872665
       1e+06           50         8.28    0.0141873     0.118322      1.5e+30       206000   0.00167868  0.872665
       1e+06           55         8.28    0.0137192     0.117802      1.5e+30       206000   0.00161615  0.959931
       1e+06           60         8.28    0.0117941     0.122268      1.5e+30       206000   0.00144204    1.0472
       1e+06           65         8.28    0.0116077     0.120844      1.5e+30       206000   0.00140272   1.13446
       1e+06           70         8.28   0.00980344     0.125105      1.5e+30       206000   0.00122646   1.22173
       1e+06           75         8.28   0.00879866     0.115986      1.5e+30       206000   0.00102053     1.309
       1e+06           80         8.28   0.00927195     0.125668      1.5e+30       206000   0.00116519   1.39626
       1e+06           85         8.28   0.00826186     0.125722      1.5e+30       206000    0.0010387   1.48353
       1e+06           90         8.28   0.00660702     0.122638      1.5e+30       206000  0.000810272    1.5708
       1e+06           10        8.694    0.0202111     0.133818      1.5e+30       206000   0.00270461  0.174533
       1e+06           15        8.694    0.0201638     0.132029      1.5e+30       206000   0.00266221  0.261799
