#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           10        3.312   0.00223092    -0.120615      1.5e+30       206000 -0.000269083  0.174533
       1e+06           15        3.312     0.002284    -0.117753      1.5e+30       206000 -0.000268948  0.261799
       1e+06           20        3.312     0.002391    -0.118914      1.5e+30       206000 -0.000284323  0.349066
       1e+06           25        3.312   0.00255265    -0.114008      1.5e+30       206000 -0.000291023  0.436332
       1e+06           30        3.312   0.00243192    -0.118702      1.5e+30       206000 -0.000288675  0.523599
       1e+06           35        3.312   0.00260978    -0.112163      1.5e+30       206000  -0.00029272  0.610865
       1e+06           40        3.312   0.00223878    -0.117148      1.5e+30       206000 -0.000262269  0.698132
       1e+06           45        3.312   0.00223339    -0.120635      1.5e+30       206000 -0.000269424  0.785398
       1e+06            5        3.312   0.00234246   -0.0614546      1.5e+30       206000 -0.000143955  0.0872665
       1e+06           50        3.312    0.0018745    -0.115742      1.5e+30       206000 -0.000216958  0.872665
       1e+06           55        3.312   0.00178534    -0.116117      1.5e+30       206000 -0.000207309  0.959931
       1e+06           60        3.312    0.0015118    -0.121047      1.5e+30       206000 -0.000182999    1.0472
       1e+06           65        3.312   0.00146263    -0.121425      1.5e+30       206000   -0.0001776   1.13446
       1e+06           70        3.312   0.00121688    -0.126981      1.5e+30       206000 -0.000154521   1.22173
       1e+06           75        3.312   0.00108143    -0.114401      1.5e+30       206000 -0.000123717     1.309
       1e+06           80        3.312   0.00113261    -0.127198      1.5e+30       206000 -0.000144067   1.39626
       1e+06           85        3.312   0.00100542    -0.123949      1.5e+30       206000 -0.000124621   1.48353
       1e+06           90        3.312  0.000804226    -0.117517      1.5e+30       206000 -9.45103e-05    1.5708
       1e+06           10         4.14    0.0023852   -0.0324394      1.5e+30       206000 -7.73744e-05  0.174533
       1e+06           15         4.14   0.00244346   -0.0312017      1.5e+30       206000   -7.624e-05  0.261799
       1e+06           20         4.14   0.00256099    -0.032044      1.5e+30       206000 -8.20645e-05  0.349066
       1e+06           25         4.14   0.00273877   -0.0304116      1.5e+30       206000 -8.32903e-05  0.436332
       1e+06           30         4.14   0.00261307   -0.0310025      1.5e+30       206000  -8.1012e-05  0.523599
       1e+06           35         4.14    0.0028177   -0.0295879      1.5e+30       206000 -8.33699e-05  0.610865
       1e+06           40         4.14   0.00243701   -0.0305911      1.5e+30       206000 -7.45509e-05  0.698132
       1e+06           45         4.14   0.00245348   -0.0313373      1.5e+30       206000 -7.68854e-05  0.785398
       1e+06            5         4.14   0.00250446    -0.017062      1.5e+30       206000 -4.27312e-05  0.0872665
       1e+06           50         4.14   0.00207686   -0.0301314      1.5e+30       206000 -6.25788e-05  0.872665
       1e+06           55         4.14   0.00198702   -0.0302375      1.5e+30       206000 -6.00826e-05  0.959931
       1e+06           60         4.14   0.00168214   -0.0313085      1.5e+30       206000 -5.26651e-05    1.0472
       1e+06           65         4.14   0.00162485   -0.0314425      1.5e+30       206000 -5.10894e-05   1.13446
       1e+06           70         4.14   0.00134981   -0.0328514      1.5e+30       206000  -4.4343e-05   1.22173
       1e+06           75         4.14   0.00119652   -0.0291191      1.5e+30       206000 -3.48415e-05     1.309
       1e+06           80         4.14   0.00124746   -0.0328538      1.5e+30       206000 -4.09839e-05   1.39626
       1e+06           85         4.14   0.00110322   -0.0318836      1.5e+30       206000 -3.51745e-05   1.48353
       1e+06           90         4.14  0.000879514   -0.0298399      1.5e+30       206000 -2.62446e-05    1.5708
       1e+06           10        4.968   0.00234237    0.0839575      1.5e+30       206000   0.00019666  0.174533
       1e+06           15        4.968   0.00239396    0.0805462      1.5e+30       206000  0.000192824  0.261799
       1e+06           20        4.968    0.0024977    0.0804798      1.5e+30       206000  0.000201015  0.349066
       1e+06           25        4.968   0.00265389    0.0778609      1.5e+30       206000  0.000206634  0.436332
       1e+06           30        4.968   0.00251795    0.0787819      1.5e+30       206000  0.000198369  0.523599
       1e+06           35        4.968    0.0027222    0.0746921      1.5e+30       206000  0.000203327  0.610865
       1e+06           40        4.968   0.00238512    0.0768298      1.5e+30       206000  0.000183248  0.698132
       1e+06           45        4.968   0.00244003    0.0788399      1.5e+30       206000  0.000192371  0.785398
       1e+06            5        4.968   0.00245949    0.0450611      1.5e+30       206000  0.000110827  0.0872665
       1e+06           50        4.968   0.00209628    0.0756786      1.5e+30       206000  0.000158643  0.872665
       1e+06           55        4.968   0.00201959     0.075806      1.5e+30       206000  0.000153097  0.959931
       1e+06           60        4.968   0.00170617    0.0782619      1.5e+30       206000  0.000133528    1.0472
       1e+06           65        4.968   0.00164022    0.0784964      1.5e+30       206000  0.000128751   1.13446
       1e+06           70        4.968   0.00135741    0.0819242      1.5e+30       206000  0.000111204   1.22173
       1e+06           75        4.968   0.00120648    0.0717853      1.5e+30       206000  8.66077e-05     1.309
       1e+06           80        4.968   0.00127249    0.0818658      1.5e+30       206000  0.000104174   1.39626
       1e+06           85        4.968   0.00113706    0.0792832      1.5e+30       206000  9.01494e-05   1.48353
       1e+06           90        4.968  0.000912434    0.0736467      1.5e+30       206000  6.71977e-05    1.5708
       1e+06           10        5.796   0.00238608     0.125457      1.5e+30       206000  0.000299351  0.174533
       1e+06           15        5.796   0.00241969     0.119857      1.5e+30       206000  0.000290016  0.261799
       1e+06           20        5.796   0.00248661     0.120325      1.5e+30       206000    0.0002992  0.349066
       1e+06           25        5.796   0.00258579     0.116157      1.5e+30       206000  0.000300357  0.436332
       1e+06           30        5.796   0.00240786     0.116286      1.5e+30       206000  0.000279999  0.523599
       1e+06           35        5.796   0.00255096     0.111218      1.5e+30       206000  0.000283711  0.610865
       1e+06           40        5.796   0.00219616     0.114024      1.5e+30       206000  0.000250414  0.698132
       1e+06           45        5.796   0.00220993     0.116495      1.5e+30       206000  0.000257446  0.785398
       1e+06            5        5.796   0.00250539    0.0693829      1.5e+30       206000  0.000173831  0.0872665
       1e+06           50        5.796   0.00187154     0.111524      1.5e+30       206000  0.000208721  0.872665
       1e+06           55        5.796   0.00180555     0.111849      1.5e+30       206000  0.000201949  0.959931
       1e+06           60        5.796   0.00155176     0.115207      1.5e+30       206000  0.000178774    1.0472
       1e+06           65        5.796   0.00152758     0.115643      1.5e+30       206000  0.000176655   1.13446
       1e+06           70        5.796   0.00129063     0.120361      1.5e+30       206000  0.000155342   1.22173
       1e+06           75        5.796   0.00116131     0.104748      1.5e+30       206000  0.000121644     1.309
       1e+06           80        5.796   0.00123108     0.120299      1.5e+30       206000  0.000148098   1.39626
       1e+06           85        5.796   0.00110257     0.116348      1.5e+30       206000  0.000128281   1.48353
       1e+06           90        5.796  0.000884844     0.107696      1.5e+30       206000  9.52944e-05    1.5708
       1e+06           10        6.624   0.00231267     0.127448      1.5e+30       206000  0.000294745  0.174533
       1e+06           15        6.624   0.00233763     0.124189      1.5e+30       206000  0.000290308  0.261799
       1e+06           20        6.624   0.00238714     0.124075      1.5e+30       206000  0.000296186  0.349066
       1e+06           25        6.624   0.00246004     0.119664      1.5e+30       206000  0.000294378  0.436332
       1e+06           30        6.624   0.00227284     0.118778      1.5e+30       206000  0.000269964  0.523599
       1e+06           35        6.624   0.00237713     0.113334      1.5e+30       206000   0.00026941  0.610865
       1e+06           40        6.624   0.00201258     0.115705      1.5e+30       206000  0.000232866  0.698132
       1e+06           45        6.624   0.00198974      0.11774      1.5e+30       206000  0.000234272  0.785398
       1e+06            5        6.624    0.0024283    0.0728432      1.5e+30       206000  0.000176885  0.0872665
       1e+06           50        6.624   0.00165871     0.112682      1.5e+30       206000  0.000186907  0.872665
       1e+06           55        6.624   0.00159751     0.112975      1.5e+30       206000  0.000180478  0.959931
       1e+06           60        6.624    0.0013907     0.116229      1.5e+30       206000  0.000161639    1.0472
       1e+06           65        6.624    0.0013945     0.116577      1.5e+30       206000  0.000162567   1.13446
       1e+06           70        6.624   0.00119698     0.121304      1.5e+30       206000  0.000145199   1.22173
       1e+06           75        6.624   0.00108461     0.105026      1.5e+30       206000  0.000113912     1.309
       1e+06           80        6.624   0.00114741     0.121219      1.5e+30       206000  0.000139088   1.39626
       1e+06           85        6.624   0.00102418     0.117236      1.5e+30       206000  0.000120071   1.48353
       1e+06           90        6.624  0.000820248     0.108204      1.5e+30       206000  8.87542e-05    1.5708
       1e+06           10         8.28   0.00219301     0.121354      1.5e+30       206000   0.00026613  0.174533
       1e+06           15         8.28   0.00219213     0.120651      1.5e+30       206000  0.000264482  0.261799
       1e+06           20         8.28    0.0021904     0.117252      1.5e+30       206000  0.000256829  0.349066
       1e+06           25         8.28   0.00218793     0.113754      1.5e+30       206000  0.000248885  0.436332
       1e+06           30         8.28   0.00196719     0.112282      1.5e+30       206000  0.000220879  0.523599
       1e+06           35         8.28   0.00203544     0.106703      1.5e+30       206000  0.000217187  0.610865
       1e+06           40         8.28   0.00174818     0.108227      1.5e+30       206000    0.0001892  0.698132
       1e+06           45         8.28    0.0017667     0.110083      1.5e+30       206000  0.000194483  0.785398
       1e+06            5         8.28   0.00230266    0.0727838      1.5e+30       206000  0.000167596  0.0872665
       1e+06           50         8.28   0.00150221     0.104977      1.5e+30       206000  0.000157697  0.872665
       1e+06           55         8.28   0.00145264     0.104883      1.5e+30       206000  0.000152358  0.959931
       1e+06           60         8.28    0.0012488     0.107764      1.5e+30       206000  0.000134575    1.0472
       1e+06           65         8.28   0.00122906     0.107909      1.5e+30       206000  0.000132627   1.13446
       1e+06           70         8.28   0.00103802     0.112421      1.5e+30       206000  0.000116695   1.22173
       1e+06           75         8.28  0.000931634    0.0967322      1.5e+30       206000   9.0119e-05     1.309
       1e+06           80         8.28  0.000981748     0.112406      1.5e+30       206000  0.000110354   1.39626
       1e+06           85         8.28  0.000874796     0.108777      1.5e+30       206000  9.51576e-05   1.48353
       1e+06           90         8.28  0.000699575     0.100286      1.5e+30       206000  7.01572e-05    1.5708
       1e+06           10        9.936   0.00199512     0.105478      1.5e+30       206000  0.000210441  0.174533
       1e+06           15        9.936    0.0019811     0.101953      1.5e+30       206000  0.000201979  0.261799
       1e+06           20        9.936   0.00195391     0.101031      1.5e+30       206000  0.000197405  0.349066
       1e+06           25        9.936    0.0019153    0.0988594      1.5e+30       206000  0.000189345  0.436332
       1e+06           30        9.936   0.00169397     0.096391      1.5e+30       206000  0.000163284  0.523599
       1e+06           35        9.936   0.00173149    0.0918832      1.5e+30       206000  0.000159095  0.610865
       1e+06           40        9.936   0.00148216    0.0922726      1.5e+30       206000  0.000136763  0.698132
       1e+06           45        9.936    0.0014971    0.0937683      1.5e+30       206000   0.00014038  0.785398
       1e+06            5        9.936   0.00209487     0.066055      1.5e+30       206000  0.000138377  0.0872665
       1e+06           50        9.936   0.00127181    0.0894338      1.5e+30       206000  0.000113742  0.872665
       1e+06           55        9.936   0.00122452    0.0891592      1.5e+30       206000  0.000109178  0.959931
       1e+06           60        9.936   0.00104519    0.0915683      1.5e+30       206000  9.57064e-05    1.0472
       1e+06           65        9.936   0.00101958     0.091575      1.5e+30       206000  9.33677e-05   1.13446
       1e+06           70        9.936   0.00085461    0.0955261      1.5e+30       206000  8.16376e-05   1.22173
       1e+06           75        9.936  0.000765313    0.0820099      1.5e+30       206000  6.27633e-05     1.309
       1e+06           80        9.936  0.000809581    0.0954919      1.5e+30       206000  7.73084e-05   1.39626
       1e+06           85        9.936  0.000724327    0.0926218      1.5e+30       206000  6.70884e-05   1.48353
       1e+06           90        9.936  0.000580404    0.0855977      1.5e+30       206000  4.96813e-05    1.5708
       1e+06           10        12.42   0.00178928   0.00397867      1.5e+30       206000  7.11894e-06  0.174533
       1e+06           15        12.42   0.00176379   0.00394153      1.5e+30       206000  6.95204e-06  0.261799
       1e+06           20        12.42   0.00171482   0.00386068      1.5e+30       206000  6.62036e-06  0.349066
       1e+06           25        12.42   0.00164628   0.00379247      1.5e+30       206000  6.24347e-06  0.436332
       1e+06           30        12.42   0.00142974   0.00369588      1.5e+30       206000  5.28415e-06  0.523599
       1e+06           35        12.42   0.00143938   0.00351845      1.5e+30       206000   5.0644e-06  0.610865
       1e+06           40        12.42   0.00122325   0.00349728      1.5e+30       206000  4.27803e-06  0.698132
       1e+06           45        12.42   0.00122994   0.00355159      1.5e+30       206000  4.36826e-06  0.785398
       1e+06            5        12.42   0.00187874    0.0026605      1.5e+30       206000  4.99838e-06  0.0872665
       1e+06           50        12.42   0.00104016   0.00339054      1.5e+30       206000  3.52671e-06  0.872665
       1e+06           55        12.42  0.000996876   0.00337447      1.5e+30       206000  3.36393e-06  0.959931
       1e+06           60        12.42  0.000847445   0.00347251      1.5e+30       206000  2.94276e-06    1.0472
       1e+06           65        12.42   0.00082301   0.00346144      1.5e+30       206000   2.8488e-06   1.13446
       1e+06           70        12.42  0.000686728   0.00361468      1.5e+30       206000   2.4823e-06   1.22173
       1e+06           75        12.42  0.000608075   0.00312083      1.5e+30       206000   1.8977e-06     1.309
       1e+06           80        12.42  0.000628684   0.00361944      1.5e+30       206000  2.27548e-06   1.39626
       1e+06           85        12.42  0.000551744   0.00352301      1.5e+30       206000   1.9438e-06   1.48353
       1e+06           90        12.42  0.000436023   0.00327642      1.5e+30       206000   1.4286e-06    1.5708
       1e+06           10       14.904   0.00143618   -0.0995906      1.5e+30       206000  -0.00014303  0.174533
       1e+06           15       14.904   0.00141826    -0.100103      1.5e+30       206000 -0.000141973  0.261799
       1e+06           20       14.904   0.00138376   -0.0972171      1.5e+30       206000 -0.000134525  0.349066
       1e+06           25       14.904   0.00133529   -0.0960802      1.5e+30       206000 -0.000128295  0.436332
       1e+06           30       14.904   0.00116488    -0.093776      1.5e+30       206000 -0.000109238  0.523599
       1e+06           35       14.904   0.00117599    -0.089622      1.5e+30       206000 -0.000105394  0.610865
       1e+06           40       14.904  0.000999064     -0.08832      1.5e+30       206000 -8.82373e-05  0.698132
       1e+06           45       14.904   0.00100323   -0.0897063      1.5e+30       206000 -8.99958e-05  0.785398
       1e+06            5       14.904   0.00150799   -0.0690327      1.5e+30       206000 -0.000104101  0.0872665
       1e+06           50       14.904   0.00084736   -0.0856432      1.5e+30       206000 -7.25707e-05  0.872665
       1e+06           55       14.904  0.000811203   -0.0851472      1.5e+30       206000 -6.90717e-05  0.959931
       1e+06           60       14.904  0.000689072    -0.087778      1.5e+30       206000 -6.04854e-05    1.0472
       1e+06           65       14.904  0.000668677   -0.0874191      1.5e+30       206000 -5.84551e-05   1.13446
       1e+06           70       14.904  0.000557296   -0.0912295      1.5e+30       206000 -5.08419e-05   1.22173
       1e+06           75       14.904   0.00049002   -0.0794871      1.5e+30       206000 -3.89503e-05     1.309
       1e+06           80       14.904  0.000498365   -0.0914402      1.5e+30       206000 -4.55706e-05   1.39626
       1e+06           85       14.904  0.000431269   -0.0894108      1.5e+30       206000 -3.85601e-05   1.48353
       1e+06           90       14.904  0.000337772   -0.0836823      1.5e+30       206000 -2.82655e-05    1.5708
       1e+06           10        16.56   0.00121381    -0.161138      1.5e+30       206000 -0.000195592  0.174533
       1e+06           15        16.56   0.00120582     -0.16134      1.5e+30       206000 -0.000194546  0.261799
       1e+06           20        16.56   0.00119029    -0.156832      1.5e+30       206000 -0.000186677  0.349066
       1e+06           25        16.56   0.00116823    -0.156075      1.5e+30       206000 -0.000182332  0.436332
       1e+06           30        16.56   0.00103436    -0.152225      1.5e+30       206000 -0.000157456  0.523599
       1e+06           35        16.56    0.0010556    -0.145413      1.5e+30       206000 -0.000153498  0.610865
       1e+06           40        16.56  0.000899154    -0.143192      1.5e+30       206000 -0.000128751  0.698132
       1e+06           45        16.56  0.000902901    -0.145576      1.5e+30       206000 -0.000131441  0.785398
       1e+06            5        16.56    0.0012745    -0.113679      1.5e+30       206000 -0.000144884  0.0872665
       1e+06           50        16.56  0.000762095    -0.139089      1.5e+30       206000 -0.000105999  0.872665
       1e+06           55        16.56    0.0007248    -0.138353      1.5e+30       206000 -0.000100278  0.959931
       1e+06           60        16.56  0.000608558    -0.142671      1.5e+30       206000 -8.68233e-05    1.0472
       1e+06           65        16.56  0.000582016    -0.141939      1.5e+30       206000 -8.26109e-05   1.13446
       1e+06           70        16.56  0.000478996    -0.148038      1.5e+30       206000 -7.09097e-05   1.22173
       1e+06           75        16.56  0.000418663    -0.129716      1.5e+30       206000 -5.43073e-05     1.309
       1e+06           80        16.56  0.000426096    -0.148439      1.5e+30       206000 -6.32491e-05   1.39626
       1e+06           85        16.56  0.000369435    -0.145583      1.5e+30       206000 -5.37836e-05   1.48353
       1e+06           90        16.56  0.000289792    -0.136865      1.5e+30       206000 -3.96623e-05    1.5708
       1e+06           10       18.216   0.00123774     -0.23155      1.5e+30       206000 -0.000286599  0.174533
       1e+06           15       18.216   0.00121635    -0.230264      1.5e+30       206000 -0.000280082  0.261799
       1e+06           20       18.216    0.0011754    -0.223446      1.5e+30       206000 -0.000262638  0.349066
       1e+06           25       18.216   0.00111845    -0.222503      1.5e+30       206000 -0.000248858  0.436332
       1e+06           30       18.216  0.000963811    -0.217827      1.5e+30       206000 -0.000209944  0.523599
       1e+06           35       18.216  0.000962997    -0.208358      1.5e+30       206000 -0.000200648  0.610865
       1e+06           40       18.216  0.000813976    -0.204305      1.5e+30       206000 -0.000166299  0.698132
       1e+06           45       18.216  0.000814676    -0.207605      1.5e+30       206000 -0.000169131  0.785398
       1e+06            5       18.216   0.00129963    -0.164534      1.5e+30       206000 -0.000213833  0.0872665
       1e+06           50       18.216  0.000685186    -0.198848      1.5e+30       206000 -0.000136248  0.872665
       1e+06           55       18.216  0.000647596    -0.197915      1.5e+30       206000 -0.000128169  0.959931
       1e+06           60       18.216  0.000539331    -0.204237      1.5e+30       206000 -0.000110151    1.0472
       1e+06           65       18.216  0.000510819    -0.202869      1.5e+30       206000 -0.000103629   1.13446
       1e+06           70       18.216  0.000416874    -0.211535      1.5e+30       206000 -8.81833e-05   1.22173
       1e+06           75       18.216  0.000362982    -0.186433      1.5e+30       206000 -6.76718e-05     1.309
       1e+06           80       18.216  0.000369795    -0.212127      1.5e+30       206000 -7.84436e-05   1.39626
       1e+06           85       18.216  0.000321176    -0.208623      1.5e+30       206000 -6.70048e-05   1.48353
