#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           10         1.38   0.00868471    -0.368829      1.5e+30       206000  -0.00320317  0.174533
       1e+06           15         1.38   0.00878557    -0.355393      1.5e+30       206000  -0.00312233  0.261799
       1e+06           20         1.38   0.00898583    -0.364816      1.5e+30       206000  -0.00327818  0.349066
       1e+06           25         1.38    0.0092812     -0.34577      1.5e+30       206000  -0.00320916  0.436332
       1e+06           30         1.38    0.0085918    -0.352507      1.5e+30       206000  -0.00302867  0.523599
       1e+06           35         1.38   0.00905831    -0.336128      1.5e+30       206000  -0.00304475  0.610865
       1e+06           40         1.38   0.00778042     -0.34783      1.5e+30       206000  -0.00270626  0.698132
       1e+06           45         1.38   0.00781758    -0.356296      1.5e+30       206000  -0.00278538  0.785398
       1e+06            5         1.38   0.00911895    -0.193991      1.5e+30       206000    -0.001769  0.0872665
       1e+06           50         1.38   0.00660949    -0.342519      1.5e+30       206000  -0.00226388  0.872665
       1e+06           55         1.38   0.00635451    -0.343714      1.5e+30       206000  -0.00218413  0.959931
       1e+06           60         1.38   0.00543556    -0.356186      1.5e+30       206000  -0.00193607    1.0472
       1e+06           65         1.38   0.00532042    -0.357517      1.5e+30       206000  -0.00190214   1.13446
       1e+06           70         1.38   0.00447418    -0.373532      1.5e+30       206000  -0.00167125   1.22173
       1e+06           75         1.38    0.0040306    -0.330896      1.5e+30       206000  -0.00133371     1.309
       1e+06           80         1.38   0.00431047     -0.37342      1.5e+30       206000  -0.00160962   1.39626
       1e+06           85         1.38   0.00389162    -0.362553      1.5e+30       206000  -0.00141092   1.48353
       1e+06           90         1.38   0.00315531    -0.338545      1.5e+30       206000  -0.00106822    1.5708
       1e+06           10        1.656   0.00868471    -0.379277      1.5e+30       206000  -0.00329391  0.174533
       1e+06           15        1.656   0.00878557    -0.364419      1.5e+30       206000  -0.00320163  0.261799
       1e+06           20        1.656   0.00898583    -0.364126      1.5e+30       206000  -0.00327198  0.349066
       1e+06           25        1.656    0.0092812    -0.351746      1.5e+30       206000  -0.00326463  0.436332
       1e+06           30        1.656    0.0085918    -0.355853      1.5e+30       206000  -0.00305742  0.523599
       1e+06           35        1.656   0.00905831     -0.33726      1.5e+30       206000  -0.00305501  0.610865
       1e+06           40        1.656   0.00778042    -0.347163      1.5e+30       206000  -0.00270108  0.698132
       1e+06           45        1.656   0.00781758    -0.356097      1.5e+30       206000  -0.00278382  0.785398
       1e+06            5        1.656   0.00911895    -0.203563      1.5e+30       206000  -0.00185628  0.0872665
       1e+06           50        1.656   0.00660949    -0.341667      1.5e+30       206000  -0.00225824  0.872665
       1e+06           55        1.656   0.00635451    -0.342277      1.5e+30       206000    -0.002175  0.959931
       1e+06           60        1.656   0.00543556    -0.353868      1.5e+30       206000  -0.00192347    1.0472
       1e+06           65        1.656   0.00532042    -0.354669      1.5e+30       206000  -0.00188699   1.13446
       1e+06           70        1.656   0.00447418    -0.370129      1.5e+30       206000  -0.00165602   1.22173
       1e+06           75        1.656    0.0040306    -0.324269      1.5e+30       206000    -0.001307     1.309
       1e+06           80        1.656   0.00431047    -0.369774      1.5e+30       206000   -0.0015939   1.39626
       1e+06           85        1.656   0.00389162    -0.358192      1.5e+30       206000  -0.00139395   1.48353
       1e+06           90        1.656   0.00315531    -0.331808      1.5e+30       206000  -0.00104696    1.5708
       1e+06           10        1.932   0.00868471    -0.348501      1.5e+30       206000  -0.00302663  0.174533
       1e+06           15        1.932   0.00878557    -0.333055      1.5e+30       206000  -0.00292607  0.261799
       1e+06           20        1.932   0.00898583    -0.334375      1.5e+30       206000  -0.00300464  0.349066
       1e+06           25        1.932    0.0092812    -0.322693      1.5e+30       206000  -0.00299498  0.436332
       1e+06           30        1.932    0.0085918    -0.323022      1.5e+30       206000  -0.00277534  0.523599
       1e+06           35        1.932   0.00905831    -0.308904      1.5e+30       206000  -0.00279815  0.610865
       1e+06           40        1.932   0.00778042    -0.316746      1.5e+30       206000  -0.00246442  0.698132
       1e+06           45        1.932   0.00781758      -0.3236      1.5e+30       206000  -0.00252977  0.785398
       1e+06            5        1.932   0.00911895    -0.192736      1.5e+30       206000  -0.00175755  0.0872665
       1e+06           50        1.932   0.00660949    -0.309803      1.5e+30       206000  -0.00204764  0.872665
       1e+06           55        1.932   0.00635451    -0.310696      1.5e+30       206000  -0.00197432  0.959931
       1e+06           60        1.932   0.00543556    -0.319934      1.5e+30       206000  -0.00173902    1.0472
       1e+06           65        1.932   0.00532042    -0.321218      1.5e+30       206000  -0.00170902   1.13446
       1e+06           70        1.932   0.00447418    -0.334336      1.5e+30       206000  -0.00149588   1.22173
       1e+06           75        1.932    0.0040306    -0.290807      1.5e+30       206000  -0.00117213     1.309
       1e+06           80        1.932   0.00431047    -0.334137      1.5e+30       206000  -0.00144029   1.39626
       1e+06           85        1.932   0.00389162    -0.323218      1.5e+30       206000  -0.00125784   1.48353
       1e+06           90        1.932   0.00315531    -0.297944      1.5e+30       206000 -0.000940107    1.5708
       1e+06           10        2.208   0.00958076    -0.312711      1.5e+30       206000  -0.00299601  0.174533
       1e+06           15        2.208    0.0097098    -0.304625      1.5e+30       206000  -0.00295785  0.261799
       1e+06           20        2.208   0.00996662    -0.304308      1.5e+30       206000  -0.00303292  0.349066
       1e+06           25        2.208    0.0103468    -0.293579      1.5e+30       206000  -0.00303761  0.436332
       1e+06           30        2.208   0.00962078    -0.291443      1.5e+30       206000  -0.00280391  0.523599
       1e+06           35        2.208    0.0102004    -0.278089      1.5e+30       206000  -0.00283661  0.610865
       1e+06           40        2.208   0.00881336    -0.283862      1.5e+30       206000  -0.00250178  0.698132
       1e+06           45        2.208   0.00890804     -0.28898      1.5e+30       206000  -0.00257425  0.785398
       1e+06            5        2.208    0.0100598    -0.178731      1.5e+30       206000    -0.001798  0.0872665
       1e+06           50        2.208   0.00756905    -0.276742      1.5e+30       206000  -0.00209467  0.872665
       1e+06           55        2.208   0.00726153     -0.27736      1.5e+30       206000  -0.00201406  0.959931
       1e+06           60        2.208   0.00615532    -0.284632      1.5e+30       206000    -0.001752    1.0472
       1e+06           65        2.208   0.00595215    -0.285915      1.5e+30       206000  -0.00170181   1.13446
       1e+06           70        2.208   0.00495195    -0.297579      1.5e+30       206000   -0.0014736   1.22173
       1e+06           75        2.208   0.00442459    -0.257375      1.5e+30       206000  -0.00113878     1.309
       1e+06           80        2.208   0.00469784    -0.297398      1.5e+30       206000  -0.00139713   1.39626
       1e+06           85        2.208    0.0042197    -0.287668      1.5e+30       206000  -0.00121387   1.48353
       1e+06           90        2.208   0.00341053    -0.264335      1.5e+30       206000 -0.000901524    1.5708
       1e+06           10         2.76    0.0116323    -0.227958      1.5e+30       206000  -0.00265168  0.174533
       1e+06           15         2.76    0.0118624     -0.22624      1.5e+30       206000  -0.00268375  0.261799
       1e+06           20         2.76    0.0123238    -0.219387      1.5e+30       206000  -0.00270369  0.349066
       1e+06           25         2.76    0.0130155    -0.213395      1.5e+30       206000  -0.00277745  0.436332
       1e+06           30         2.76    0.0122842    -0.210842      1.5e+30       206000  -0.00259002  0.523599
       1e+06           35         2.76    0.0131153    -0.200591      1.5e+30       206000   -0.0026308  0.610865
       1e+06           40         2.76    0.0112708    -0.203314      1.5e+30       206000  -0.00229152  0.698132
       1e+06           45         2.76    0.0112878    -0.206763      1.5e+30       206000   -0.0023339  0.785398
       1e+06            5         2.76    0.0122139    -0.136722      1.5e+30       206000   -0.0016699  0.0872665
       1e+06           50         2.76   0.00950617    -0.197193      1.5e+30       206000  -0.00187455  0.872665
       1e+06           55         2.76   0.00904965    -0.197004      1.5e+30       206000  -0.00178282  0.959931
       1e+06           60         2.76   0.00762956    -0.202193      1.5e+30       206000  -0.00154264    1.0472
       1e+06           65         2.76   0.00733706    -0.202662      1.5e+30       206000  -0.00148694   1.13446
       1e+06           70         2.76   0.00607388    -0.211161      1.5e+30       206000  -0.00128256   1.22173
       1e+06           75         2.76   0.00540136    -0.181567      1.5e+30       206000 -0.000980708     1.309
       1e+06           80         2.76   0.00570216    -0.211136      1.5e+30       206000  -0.00120393   1.39626
       1e+06           85         2.76   0.00509915    -0.204335      1.5e+30       206000  -0.00104194   1.48353
       1e+06           90         2.76   0.00410171    -0.187767      1.5e+30       206000 -0.000770167    1.5708
       1e+06           10        3.312    0.0126433    -0.135065      1.5e+30       206000  -0.00170767  0.174533
       1e+06           15        3.312    0.0129441    -0.130077      1.5e+30       206000  -0.00168373  0.261799
       1e+06           20        3.312    0.0135506    -0.128495      1.5e+30       206000  -0.00174117  0.349066
       1e+06           25        3.312    0.0144667    -0.126254      1.5e+30       206000  -0.00182648  0.436332
       1e+06           30        3.312    0.0137825    -0.123271      1.5e+30       206000  -0.00169898  0.523599
       1e+06           35        3.312    0.0147904    -0.117738      1.5e+30       206000   -0.0017414  0.610865
       1e+06           40        3.312    0.0126879    -0.118176      1.5e+30       206000   -0.0014994  0.698132
       1e+06           45        3.312    0.0126573    -0.120062      1.5e+30       206000  -0.00151966  0.785398
       1e+06            5        3.312    0.0132755   -0.0845837      1.5e+30       206000  -0.00112289  0.0872665
       1e+06           50        3.312    0.0106234    -0.114505      1.5e+30       206000  -0.00121643  0.872665
       1e+06           55        3.312    0.0101181    -0.114152      1.5e+30       206000    -0.001155  0.959931
       1e+06           60        3.312   0.00856786    -0.117209      1.5e+30       206000  -0.00100423    1.0472
       1e+06           65        3.312   0.00828918    -0.117258      1.5e+30       206000 -0.000971973   1.13446
       1e+06           70        3.312   0.00689642     -0.12232      1.5e+30       206000  -0.00084357   1.22173
       1e+06           75        3.312   0.00612879    -0.105063      1.5e+30       206000 -0.000643908     1.309
       1e+06           80        3.312   0.00641887    -0.122299      1.5e+30       206000 -0.000785024   1.39626
       1e+06           85        3.312   0.00569805    -0.118604      1.5e+30       206000 -0.000675813   1.48353
