#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.2e+06           10         2.07    0.0164282     0.198729   1.0935e+30       206000   0.00326476  0.174533
     1.2e+06           15         2.07    0.0159836     0.328925   1.0935e+30       206000   0.00525742  0.261799
     1.2e+06           20         2.07    0.0142997     0.367555   1.0935e+30       206000   0.00525595  0.349066
     1.2e+06           25         2.07    0.0155395       0.3789   1.0935e+30       206000   0.00588792  0.436332
     1.2e+06           30         2.07    0.0144442     0.390749   1.0935e+30       206000   0.00564407  0.523599
     1.2e+06           35         2.07    0.0150042     0.395319   1.0935e+30       206000   0.00593144  0.610865
     1.2e+06           40         2.07    0.0136084     0.399873   1.0935e+30       206000   0.00544163  0.698132
     1.2e+06           45         2.07    0.0122846     0.401264   1.0935e+30       206000   0.00492939  0.785398
     1.2e+06            5         2.07    0.0157224    0.0585018   1.0935e+30       206000   0.00091979  0.0872665
     1.2e+06           50         2.07    0.0110906     0.403417   1.0935e+30       206000   0.00447415  0.872665
     1.2e+06           55         2.07       0.0107     0.404719   1.0935e+30       206000    0.0043305  0.959931
     1.2e+06           60         2.07   0.00974434     0.404255   1.0935e+30       206000    0.0039392    1.0472
     1.2e+06           65         2.07   0.00888355     0.404903   1.0935e+30       206000   0.00359698   1.13446
     1.2e+06           70         2.07   0.00749621     0.407437   1.0935e+30       206000   0.00305423   1.22173
     1.2e+06           75         2.07   0.00676809     0.405999   1.0935e+30       206000   0.00274784     1.309
     1.2e+06           80         2.07   0.00664842     0.406584   1.0935e+30       206000   0.00270314   1.39626
     1.2e+06           85         2.07   0.00548899     0.407569   1.0935e+30       206000   0.00223714   1.48353
     1.2e+06           90         2.07   0.00329629     0.406434   1.0935e+30       206000   0.00133972    1.5708
     1.2e+06           10        2.484    0.0215291     0.165232   1.0935e+30       206000    0.0035573  0.174533
     1.2e+06           15        2.484    0.0208029     0.273409   1.0935e+30       206000    0.0056877  0.261799
     1.2e+06           20        2.484    0.0183729     0.305706   1.0935e+30       206000    0.0056167  0.349066
     1.2e+06           25        2.484    0.0196576     0.315126   1.0935e+30       206000   0.00619462  0.436332
     1.2e+06           30        2.484    0.0180183     0.325052   1.0935e+30       206000    0.0058569  0.523599
     1.2e+06           35        2.484    0.0185182     0.328858   1.0935e+30       206000   0.00608984  0.610865
     1.2e+06           40        2.484    0.0166927      0.33265   1.0935e+30       206000   0.00555282  0.698132
     1.2e+06           45        2.484    0.0149859     0.333804   1.0935e+30       206000   0.00500237  0.785398
     1.2e+06            5        2.484    0.0206169    0.0486673   1.0935e+30       206000   0.00100337  0.0872665
     1.2e+06           50        2.484    0.0134506     0.335598   1.0935e+30       206000   0.00451399  0.872665
     1.2e+06           55        2.484    0.0128977     0.336681   1.0935e+30       206000   0.00434242  0.959931
     1.2e+06           60        2.484    0.0116672     0.336293   1.0935e+30       206000    0.0039236    1.0472
