#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           10         2.07    0.0149737    0.0320957      1.5e+30       206000  0.000480592  0.174533
       1e+06           15         2.07    0.0151583    0.0516111      1.5e+30       206000  0.000782337  0.261799
       1e+06           20         2.07    0.0155251    0.0749276      1.5e+30       206000   0.00116326  0.349066
       1e+06           25         2.07    0.0160669     0.104037      1.5e+30       206000   0.00167156  0.436332
       1e+06           30         2.07    0.0148988     0.124413      1.5e+30       206000    0.0018536  0.523599
       1e+06           35         2.07    0.0157656     0.145179      1.5e+30       206000   0.00228884  0.610865
       1e+06           40         2.07    0.0136158     0.177427      1.5e+30       206000   0.00241581  0.698132
       1e+06           45         2.07    0.0137626     0.213328      1.5e+30       206000   0.00293593  0.785398
       1e+06            5         2.07    0.0157224   0.00932158      1.5e+30       206000  0.000146558  0.0872665
       1e+06           50         2.07    0.0116964     0.234111      1.5e+30       206000   0.00273826  0.872665
       1e+06           55         2.07    0.0112412      0.26356      1.5e+30       206000   0.00296273  0.959931
       1e+06           60         2.07   0.00955842     0.296405      1.5e+30       206000   0.00283317    1.0472
       1e+06           65         2.07   0.00927894     0.317889      1.5e+30       206000   0.00294967   1.13446
       1e+06           70         2.07    0.0077469     0.346599      1.5e+30       206000   0.00268506   1.22173
       1e+06           75         2.07   0.00694747     0.308227      1.5e+30       206000    0.0021414     1.309
       1e+06           80         2.07   0.00741267     0.367269      1.5e+30       206000   0.00272244   1.39626
       1e+06           85         2.07   0.00668391     0.357479      1.5e+30       206000   0.00238935   1.48353
       1e+06           90         2.07    0.0054146      0.32786      1.5e+30       206000   0.00177523    1.5708
       1e+06           10        2.484    0.0196351    0.0313721      1.5e+30       206000  0.000615995  0.174533
       1e+06           15        2.484    0.0197668     0.046596      1.5e+30       206000  0.000921051  0.261799
       1e+06           20        2.484    0.0200265    0.0669514      1.5e+30       206000   0.00134081  0.349066
       1e+06           25        2.484    0.0204059    0.0910366      1.5e+30       206000   0.00185769  0.436332
       1e+06           30        2.484    0.0186683      0.10434      1.5e+30       206000   0.00194785  0.523599
       1e+06           35        2.484    0.0195198     0.117728      1.5e+30       206000   0.00229803  0.610865
       1e+06           40        2.484    0.0167412      0.14015      1.5e+30       206000   0.00234629  0.698132
       1e+06           45        2.484    0.0168322      0.16717      1.5e+30       206000   0.00281384  0.785398
       1e+06            5        2.484    0.0206169    0.0101171      1.5e+30       206000  0.000208583  0.0872665
       1e+06           50        2.484    0.0142301     0.183415      1.5e+30       206000   0.00261001  0.872665
       1e+06           55        2.484    0.0135976     0.206811      1.5e+30       206000   0.00281212  0.959931
       1e+06           60        2.484    0.0114993     0.233507      1.5e+30       206000   0.00268517    1.0472
       1e+06           65        2.484    0.0110954     0.251179      1.5e+30       206000   0.00278693   1.13446
       1e+06           70        2.484    0.0092123     0.275077      1.5e+30       206000   0.00253409   1.22173
       1e+06           75        2.484   0.00821061     0.244753      1.5e+30       206000   0.00200958     1.309
       1e+06           80        2.484   0.00868464     0.292498      1.5e+30       206000   0.00254024   1.39626
       1e+06           85        2.484   0.00777685      0.28525      1.5e+30       206000   0.00221834   1.48353
       1e+06           90        2.484   0.00627076     0.261963      1.5e+30       206000   0.00164271    1.5708
       1e+06           10        3.105    0.0188602    0.0292763      1.5e+30       206000  0.000552156  0.174533
       1e+06           15        3.105    0.0194411    0.0417186      1.5e+30       206000  0.000811054  0.261799
       1e+06           20        3.105    0.0206219    0.0550011      1.5e+30       206000   0.00113423  0.349066
       1e+06           25        3.105    0.0224304    0.0700036      1.5e+30       206000   0.00157021  0.436332
       1e+06           30        3.105    0.0217175    0.0744146      1.5e+30       206000    0.0016161  0.523599
       1e+06           35        3.105    0.0236043    0.0760164      1.5e+30       206000   0.00179431  0.610865
       1e+06           40        3.105    0.0203558     0.084839      1.5e+30       206000   0.00172696  0.698132
       1e+06           45        3.105    0.0203654    0.0988567      1.5e+30       206000   0.00201326  0.785398
       1e+06            5        3.105    0.0198032    0.0109601      1.5e+30       206000  0.000217045  0.0872665
       1e+06           50        3.105    0.0171431      0.10839      1.5e+30       206000   0.00185814  0.872665
       1e+06           55        3.105     0.016388     0.123453      1.5e+30       206000   0.00202314  0.959931
       1e+06           60        3.105    0.0139316     0.141515      1.5e+30       206000   0.00197152    1.0472
       1e+06           65        3.105    0.0135393     0.153684      1.5e+30       206000   0.00208077   1.13446
       1e+06           70        3.105    0.0113074     0.170071      1.5e+30       206000   0.00192305   1.22173
       1e+06           75        3.105    0.0100557      0.15303      1.5e+30       206000   0.00153883     1.309
       1e+06           80        3.105    0.0104997     0.182992      1.5e+30       206000   0.00192135   1.39626
       1e+06           85        3.105   0.00929259     0.179029      1.5e+30       206000   0.00166364   1.48353
       1e+06           90        3.105   0.00741659     0.165441      1.5e+30       206000   0.00122701    1.5708
       1e+06           10        3.726    0.0224473    0.0272576      1.5e+30       206000   0.00061186  0.174533
       1e+06           15        3.726    0.0230103    0.0360082      1.5e+30       206000  0.000828561  0.261799
