#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
      900000           10         2.07    0.0149363   -0.0207939   1.0935e+30       206000 -0.000310583  0.174533
      900000           15         2.07    0.0134821   -0.0488658   1.0935e+30       206000 -0.000658814  0.261799
      900000           20         2.07     0.016241    -0.080994   1.0935e+30       206000  -0.00131542  0.349066
      900000           25         2.07     0.015046    -0.114567   1.0935e+30       206000  -0.00172378  0.436332
      900000           30         2.07    0.0164228    -0.149731   1.0935e+30       206000  -0.00245901  0.523599
      900000           35         2.07    0.0149118    -0.180097   1.0935e+30       206000  -0.00268556  0.610865
      900000           40         2.07    0.0154224    -0.216517   1.0935e+30       206000   -0.0033392  0.698132
      900000           45         2.07    0.0139177    -0.259383   1.0935e+30       206000  -0.00361001  0.785398
      900000            5         2.07    0.0157224    -0.005745   1.0935e+30       206000 -9.03253e-05  0.0872665
      900000           50         2.07    0.0133066     -0.30204   1.0935e+30       206000  -0.00401912  0.872665
      900000           55         2.07    0.0120291    -0.342812   1.0935e+30       206000  -0.00412371  0.959931
      900000           60         2.07    0.0101989    -0.377824   1.0935e+30       206000   -0.0038534    1.0472
      900000           65         2.07   0.00990862    -0.412623   1.0935e+30       206000  -0.00408853   1.13446
      900000           70         2.07   0.00757752    -0.437877   1.0935e+30       206000  -0.00331802   1.22173
      900000           75         2.07   0.00806831    -0.456779   1.0935e+30       206000  -0.00368544     1.309
      900000           80         2.07   0.00789242    -0.469639   1.0935e+30       206000  -0.00370659   1.39626
      900000           85         2.07   0.00712619    -0.477585   1.0935e+30       206000  -0.00340336   1.48353
      900000           90         2.07   0.00637008    -0.480587   1.0935e+30       206000  -0.00306138    1.5708
      900000           10        2.484     0.019586   -0.0197621   1.0935e+30       206000 -0.000387061  0.174533
      900000           15        2.484    0.0176086   -0.0450133   1.0935e+30       206000 -0.000792623  0.261799
      900000           20        2.484    0.0209853   -0.0719431   1.0935e+30       206000  -0.00150975  0.349066
      900000           25        2.484    0.0191883   -0.0993906   1.0935e+30       206000  -0.00190714  0.436332
      900000           30        2.484    0.0206287    -0.125536   1.0935e+30       206000  -0.00258965  0.523599
      900000           35        2.484     0.018508    -0.146075   1.0935e+30       206000  -0.00270356  0.610865
      900000           40        2.484    0.0190038    -0.172145   1.0935e+30       206000  -0.00327141  0.698132
      900000           45        2.484      0.01706    -0.204131   1.0935e+30       206000  -0.00348246  0.785398
      900000            5        2.484    0.0206169  -0.00546497   1.0935e+30       206000 -0.000112671  0.0872665
      900000           50        2.484    0.0162275    -0.237069   1.0935e+30       206000  -0.00384703  0.872665
      900000           55        2.484    0.0145938    -0.269606   1.0935e+30       206000  -0.00393456  0.959931
      900000           60        2.484    0.0123096    -0.298103   1.0935e+30       206000  -0.00366953    1.0472
      900000           65        2.484    0.0118894    -0.326932   1.0935e+30       206000  -0.00388703   1.13446
      900000           70        2.484   0.00904182    -0.348297   1.0935e+30       206000  -0.00314924   1.22173
      900000           75        2.484   0.00957364    -0.364206   1.0935e+30       206000  -0.00348677     1.309
      900000           80        2.484   0.00930089    -0.375216   1.0935e+30       206000  -0.00348984   1.39626
      900000           85        2.484   0.00834481    -0.381817   1.0935e+30       206000  -0.00318619   1.48353
      900000           90        2.484    0.0074068    -0.384126   1.0935e+30       206000  -0.00284515    1.5708
      900000           10        8.694    0.0201606   -0.0162645   1.0935e+30       206000 -0.000327902  0.174533
