#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
      900000           10         2.07    0.0149363    0.0311167   1.0935e+30       206000  0.000464768  0.174533
      900000           15         2.07    0.0134821    0.0455885   1.0935e+30       206000  0.000614629  0.261799
      900000           20         2.07     0.016241    0.0729755   1.0935e+30       206000    0.0011852  0.349066
      900000           25         2.07     0.015046    0.0986995   1.0935e+30       206000   0.00148503  0.436332
      900000           30         2.07    0.0164228     0.117194   1.0935e+30       206000   0.00192466  0.523599
      900000           35         2.07    0.0149118     0.139085   1.0935e+30       206000     0.002074  0.610865
      900000           40         2.07    0.0154224     0.168417   1.0935e+30       206000   0.00259738  0.698132
      900000           45         2.07    0.0139177      0.19565   1.0935e+30       206000   0.00272299  0.785398
      900000            5         2.07    0.0157224   0.00958508   1.0935e+30       206000  0.000150701  0.0872665
      900000           50         2.07    0.0133066     0.226521   1.0935e+30       206000   0.00301422  0.872665
      900000           55         2.07    0.0120291     0.248591   1.0935e+30       206000   0.00299031  0.959931
      900000           60         2.07    0.0101989     0.281912   1.0935e+30       206000    0.0028752    1.0472
      900000           65         2.07   0.00990862     0.306252   1.0935e+30       206000   0.00303453   1.13446
      900000           70         2.07   0.00757752     0.328613   1.0935e+30       206000   0.00249008   1.22173
      900000           75         2.07   0.00806831     0.315168   1.0935e+30       206000   0.00254287     1.309
      900000           80         2.07   0.00789242     0.362948   1.0935e+30       206000   0.00286454   1.39626
      900000           85         2.07   0.00712619     0.356213   1.0935e+30       206000   0.00253845   1.48353
      900000           90         2.07   0.00637008     0.344447   1.0935e+30       206000   0.00219416    1.5708
      900000           10        2.484     0.019586    0.0300324   1.0935e+30       206000  0.000588215  0.174533
      900000           15        2.484    0.0176086    0.0432043   1.0935e+30       206000  0.000760768  0.261799
      900000           20        2.484    0.0209853    0.0652642   1.0935e+30       206000   0.00136959  0.349066
      900000           25        2.484    0.0191883    0.0865908   1.0935e+30       206000   0.00166153  0.436332
      900000           30        2.484    0.0206287    0.0996212   1.0935e+30       206000   0.00205506  0.523599
      900000           35        2.484     0.018508     0.113231   1.0935e+30       206000   0.00209567  0.610865
      900000           40        2.484    0.0190038     0.134176   1.0935e+30       206000   0.00254985  0.698132
